period_min	period_max	source	rank
2008-01-01	2009-12-31	H3260_v1_3	39292
2010-01-01	2011-12-31	H3260_v1_4	39292
2012-01-01	2015-12-31	H3260_v1_5	39292
2016-01-01	2017-12-31	H3260_v1_6	39292
2018-01-01	2018-12-31	H3260_v1_7	39292
1899-01-01	2006-12-31	H3260_v1_0	39293
2007-01-01	2007-12-31	H3260_v1_2	39293
2008-01-01	2009-12-31	H3260_v1_3	39293
2010-01-01	2011-12-31	H3260_v1_4	39293
2012-01-01	2015-12-31	H3260_v1_5	39293
2016-01-01	2017-12-31	H3260_v1_6	39293
2018-01-01	2018-12-31	H3260_v1_7	39293
1899-01-01	2006-12-31	H3260_v1_0	39294
2007-01-01	2007-12-31	H3260_v1_2	39294
2008-01-01	2009-12-31	H3260_v1_3	39294
2010-01-01	2011-12-31	H3260_v1_4	39294
2012-01-01	2015-12-31	H3260_v1_5	39294
2016-01-01	2017-12-31	H3260_v1_6	39294
2018-01-01	2018-12-31	H3260_v1_7	39294
1899-01-01	2006-12-31	H3260_v1_0	39295
2007-01-01	2007-12-31	H3260_v1_2	39295
2008-01-01	2009-12-31	H3260_v1_3	39295
2010-01-01	2011-12-31	H3260_v1_4	39295
2012-01-01	2015-12-31	H3260_v1_5	39295
2016-01-01	2017-12-31	H3260_v1_6	39295
2018-01-01	2018-12-31	H3260_v1_7	39295
1899-01-01	2006-12-31	H3260_v1_0	39296
2007-01-01	2007-12-31	H3260_v1_2	39296
2008-01-01	2009-12-31	H3260_v1_3	39296
2010-01-01	2011-12-31	H3260_v1_4	39296
2012-01-01	2015-12-31	H3260_v1_5	39296
2016-01-01	2017-12-31	H3260_v1_6	39296
2018-01-01	2018-12-31	H3260_v1_7	39296
1899-01-01	2006-12-31	H3260_v1_0	39297
2007-01-01	2007-12-31	H3260_v1_2	39297
2008-01-01	2009-12-31	H3260_v1_3	39297
2010-01-01	2011-12-31	H3260_v1_4	39297
2012-01-01	2015-12-31	H3260_v1_5	39297
2016-01-01	2017-12-31	H3260_v1_6	39297
2018-01-01	2018-12-31	H3260_v1_7	39297
1899-01-01	2006-12-31	H3260_v1_0	39298
2007-01-01	2007-12-31	H3260_v1_2	39298
2008-01-01	2009-12-31	H3260_v1_3	39298
2010-01-01	2011-12-31	H3260_v1_4	39298
2012-01-01	2015-12-31	H3260_v1_5	39298
2016-01-01	2017-12-31	H3260_v1_6	39298
2018-01-01	2018-12-31	H3260_v1_7	39298
1899-01-01	2006-12-31	H3260_v1_0	39299
2007-01-01	2007-12-31	H3260_v1_2	39299
2008-01-01	2009-12-31	H3260_v1_3	39299
2010-01-01	2011-12-31	H3260_v1_4	39299
2012-01-01	2015-12-31	H3260_v1_5	39299
2016-01-01	2017-12-31	H3260_v1_6	39299
2018-01-01	2018-12-31	H3260_v1_7	39299
1899-01-01	2006-12-31	H3260_v1_0	39300
2007-01-01	2007-12-31	H3260_v1_2	39300
2008-01-01	2009-12-31	H3260_v1_3	39300
2010-01-01	2011-12-31	H3260_v1_4	39300
2012-01-01	2015-12-31	H3260_v1_5	39300
2016-01-01	2017-12-31	H3260_v1_6	39300
2018-01-01	2018-12-31	H3260_v1_7	39300
1899-01-01	2006-12-31	H3260_v1_0	39301
2007-01-01	2007-12-31	H3260_v1_2	39301
2008-01-01	2009-12-31	H3260_v1_3	39301
2010-01-01	2011-12-31	H3260_v1_4	39301
2012-01-01	2015-12-31	H3260_v1_5	39301
2016-01-01	2017-12-31	H3260_v1_6	39301
2018-01-01	2018-12-31	H3260_v1_7	39301
1899-01-01	2006-12-31	H3260_v1_0	39302
2007-01-01	2007-12-31	H3260_v1_2	39302
2008-01-01	2009-12-31	H3260_v1_3	39302
2010-01-01	2011-12-31	H3260_v1_4	39302
2012-01-01	2015-12-31	H3260_v1_5	39302
2016-01-01	2017-12-31	H3260_v1_6	39302
2018-01-01	2018-12-31	H3260_v1_7	39302
1899-01-01	2006-12-31	H3260_v1_0	39303
2007-01-01	2007-12-31	H3260_v1_2	39303
2008-01-01	2009-12-31	H3260_v1_3	39303
2010-01-01	2011-12-31	H3260_v1_4	39303
2012-01-01	2015-12-31	H3260_v1_5	39303
2016-01-01	2017-12-31	H3260_v1_6	39303
2018-01-01	2018-12-31	H3260_v1_7	39303
1899-01-01	2006-12-31	H3260_v1_0	39304
2007-01-01	2007-12-31	H3260_v1_2	39304
2008-01-01	2009-12-31	H3260_v1_3	39304
2010-01-01	2011-12-31	H3260_v1_4	39304
2012-01-01	2015-12-31	H3260_v1_5	39304
2016-01-01	2017-12-31	H3260_v1_6	39304
2018-01-01	2018-12-31	H3260_v1_7	39304
1899-01-01	2006-12-31	H3260_v1_0	39305
2007-01-01	2007-12-31	H3260_v1_2	39305
2008-01-01	2009-12-31	H3260_v1_3	39305
2010-01-01	2011-12-31	H3260_v1_4	39305
2012-01-01	2015-12-31	H3260_v1_5	39305
2016-01-01	2017-12-31	H3260_v1_6	39305
2018-01-01	2018-12-31	H3260_v1_7	39305
1899-01-01	2006-12-31	H3260_v1_0	39306
2007-01-01	2007-12-31	H3260_v1_2	39306
2008-01-01	2009-12-31	H3260_v1_3	39306
2010-01-01	2011-12-31	H3260_v1_4	39306
2012-01-01	2015-12-31	H3260_v1_5	39306
2016-01-01	2017-12-31	H3260_v1_6	39306
2018-01-01	2018-12-31	H3260_v1_7	39306
1899-01-01	2006-12-31	H3260_v1_0	39307
2007-01-01	2007-12-31	H3260_v1_2	39307
2008-01-01	2009-12-31	H3260_v1_3	39307
2010-01-01	2011-12-31	H3260_v1_4	39307
2012-01-01	2015-12-31	H3260_v1_5	39307
2016-01-01	2017-12-31	H3260_v1_6	39307
2018-01-01	2018-12-31	H3260_v1_7	39307
1899-01-01	2006-12-31	H3260_v1_0	39308
2007-01-01	2007-12-31	H3260_v1_2	39308
2008-01-01	2009-12-31	H3260_v1_3	39308
2010-01-01	2011-12-31	H3260_v1_4	39308
2012-01-01	2015-12-31	H3260_v1_5	39308
2016-01-01	2017-12-31	H3260_v1_6	39308
2018-01-01	2018-12-31	H3260_v1_7	39308
1899-01-01	2006-12-31	H3260_v1_0	39309
2007-01-01	2007-12-31	H3260_v1_2	39309
2008-01-01	2009-12-31	H3260_v1_3	39309
2010-01-01	2011-12-31	H3260_v1_4	39309
2012-01-01	2015-12-31	H3260_v1_5	39309
2016-01-01	2017-12-31	H3260_v1_6	39309
2018-01-01	2018-12-31	H3260_v1_7	39309
1899-01-01	2006-12-31	H3260_v1_0	39310
2007-01-01	2007-12-31	H3260_v1_2	39310
2008-01-01	2009-12-31	H3260_v1_3	39310
2010-01-01	2011-12-31	H3260_v1_4	39310
2012-01-01	2015-12-31	H3260_v1_5	39310
2016-01-01	2017-12-31	H3260_v1_6	39310
2018-01-01	2018-12-31	H3260_v1_7	39310
1899-01-01	2006-12-31	H3260_v1_0	39311
2007-01-01	2007-12-31	H3260_v1_2	39311
2008-01-01	2009-12-31	H3260_v1_3	39311
2010-01-01	2011-12-31	H3260_v1_4	39311
2012-01-01	2015-12-31	H3260_v1_5	39311
2016-01-01	2017-12-31	H3260_v1_6	39311
2018-01-01	2018-12-31	H3260_v1_7	39311
1899-01-01	2006-12-31	H3260_v1_0	39312
2007-01-01	2007-12-31	H3260_v1_2	39312
2008-01-01	2009-12-31	H3260_v1_3	39312
2010-01-01	2011-12-31	H3260_v1_4	39312
2012-01-01	2015-12-31	H3260_v1_5	39312
2016-01-01	2017-12-31	H3260_v1_6	39312
2018-01-01	2018-12-31	H3260_v1_7	39312
1899-01-01	2006-12-31	H3260_v1_0	39313
2007-01-01	2007-12-31	H3260_v1_2	39313
2008-01-01	2009-12-31	H3260_v1_3	39313
2010-01-01	2011-12-31	H3260_v1_4	39313
2012-01-01	2015-12-31	H3260_v1_5	39313
2016-01-01	2017-12-31	H3260_v1_6	39313
2018-01-01	2018-12-31	H3260_v1_7	39313
1899-01-01	2006-12-31	H3260_v1_0	39314
2007-01-01	2007-12-31	H3260_v1_2	39314
2008-01-01	2009-12-31	H3260_v1_3	39314
2010-01-01	2011-12-31	H3260_v1_4	39314
2012-01-01	2015-12-31	H3260_v1_5	39314
2016-01-01	2017-12-31	H3260_v1_6	39314
2018-01-01	2018-12-31	H3260_v1_7	39314
1899-01-01	2006-12-31	H3260_v1_0	39315
2007-01-01	2007-12-31	H3260_v1_2	39315
2008-01-01	2009-12-31	H3260_v1_3	39315
2010-01-01	2011-12-31	H3260_v1_4	39315
2012-01-01	2015-12-31	H3260_v1_5	39315
2016-01-01	2017-12-31	H3260_v1_6	39315
2018-01-01	2018-12-31	H3260_v1_7	39315
1899-01-01	2006-12-31	H3260_v1_0	39316
2007-01-01	2007-12-31	H3260_v1_2	39316
2008-01-01	2009-12-31	H3260_v1_3	39316
2010-01-01	2011-12-31	H3260_v1_4	39316
2012-01-01	2015-12-31	H3260_v1_5	39316
2016-01-01	2017-12-31	H3260_v1_6	39316
2018-01-01	2018-12-31	H3260_v1_7	39316
1899-01-01	2006-12-31	H3260_v1_0	39317
2007-01-01	2007-12-31	H3260_v1_2	39317
2008-01-01	2009-12-31	H3260_v1_3	39317
2010-01-01	2011-12-31	H3260_v1_4	39317
2012-01-01	2015-12-31	H3260_v1_5	39317
2016-01-01	2017-12-31	H3260_v1_6	39317
2018-01-01	2018-12-31	H3260_v1_7	39317
1899-01-01	2006-12-31	H3260_v1_0	39318
2007-01-01	2007-12-31	H3260_v1_2	39318
2008-01-01	2009-12-31	H3260_v1_3	39318
2010-01-01	2011-12-31	H3260_v1_4	39318
2012-01-01	2015-12-31	H3260_v1_5	39318
2016-01-01	2017-12-31	H3260_v1_6	39318
2018-01-01	2018-12-31	H3260_v1_7	39318
1899-01-01	2006-12-31	H3260_v1_0	39319
2007-01-01	2007-12-31	H3260_v1_2	39319
2008-01-01	2009-12-31	H3260_v1_3	39319
2010-01-01	2011-12-31	H3260_v1_4	39319
2012-01-01	2015-12-31	H3260_v1_5	39319
2016-01-01	2017-12-31	H3260_v1_6	39319
2018-01-01	2018-12-31	H3260_v1_7	39319
1899-01-01	2006-12-31	H3260_v1_0	39320
2007-01-01	2007-12-31	H3260_v1_2	39320
2008-01-01	2009-12-31	H3260_v1_3	39320
2010-01-01	2011-12-31	H3260_v1_4	39320
2012-01-01	2015-12-31	H3260_v1_5	39320
2016-01-01	2017-12-31	H3260_v1_6	39320
2018-01-01	2018-12-31	H3260_v1_7	39320
1899-01-01	2006-12-31	H3260_v1_0	39321
2007-01-01	2007-12-31	H3260_v1_2	39321
2008-01-01	2009-12-31	H3260_v1_3	39321
2010-01-01	2011-12-31	H3260_v1_4	39321
2012-01-01	2015-12-31	H3260_v1_5	39321
2016-01-01	2017-12-31	H3260_v1_6	39321
2018-01-01	2018-12-31	H3260_v1_7	39321
1899-01-01	2006-12-31	H3260_v1_0	39322
2007-01-01	2007-12-31	H3260_v1_2	39322
2008-01-01	2009-12-31	H3260_v1_3	39322
2010-01-01	2011-12-31	H3260_v1_4	39322
2012-01-01	2015-12-31	H3260_v1_5	39322
2016-01-01	2017-12-31	H3260_v1_6	39322
2018-01-01	2018-12-31	H3260_v1_7	39322
1899-01-01	2006-12-31	H3260_v1_0	39323
2007-01-01	2007-12-31	H3260_v1_2	39323
2008-01-01	2009-12-31	H3260_v1_3	39323
2010-01-01	2011-12-31	H3260_v1_4	39323
2012-01-01	2015-12-31	H3260_v1_5	39323
2016-01-01	2017-12-31	H3260_v1_6	39323
2018-01-01	2018-12-31	H3260_v1_7	39323
1899-01-01	2006-12-31	H3260_v1_0	39324
2007-01-01	2007-12-31	H3260_v1_2	39324
2008-01-01	2009-12-31	H3260_v1_3	39324
2010-01-01	2011-12-31	H3260_v1_4	39324
2012-01-01	2015-12-31	H3260_v1_5	39324
2016-01-01	2017-12-31	H3260_v1_6	39324
2018-01-01	2018-12-31	H3260_v1_7	39324
1899-01-01	2006-12-31	H3260_v1_0	39325
2007-01-01	2007-12-31	H3260_v1_2	39325
2008-01-01	2009-12-31	H3260_v1_3	39325
2010-01-01	2011-12-31	H3260_v1_4	39325
2012-01-01	2015-12-31	H3260_v1_5	39325
2016-01-01	2017-12-31	H3260_v1_6	39325
2018-01-01	2018-12-31	H3260_v1_7	39325
1899-01-01	2006-12-31	H3260_v1_0	39326
2007-01-01	2007-12-31	H3260_v1_2	39326
2008-01-01	2009-12-31	H3260_v1_3	39326
2010-01-01	2011-12-31	H3260_v1_4	39326
2012-01-01	2015-12-31	H3260_v1_5	39326
2016-01-01	2017-12-31	H3260_v1_6	39326
2018-01-01	2018-12-31	H3260_v1_7	39326
1899-01-01	2006-12-31	H3260_v1_0	39327
2007-01-01	2007-12-31	H3260_v1_2	39327
2008-01-01	2009-12-31	H3260_v1_3	39327
2010-01-01	2011-12-31	H3260_v1_4	39327
2012-01-01	2015-12-31	H3260_v1_5	39327
2016-01-01	2017-12-31	H3260_v1_6	39327
2018-01-01	2018-12-31	H3260_v1_7	39327
1899-01-01	2006-12-31	H3260_v1_0	39328
2007-01-01	2007-12-31	H3260_v1_2	39328
2008-01-01	2009-12-31	H3260_v1_3	39328
2010-01-01	2011-12-31	H3260_v1_4	39328
2012-01-01	2015-12-31	H3260_v1_5	39328
2016-01-01	2017-12-31	H3260_v1_6	39328
2018-01-01	2018-12-31	H3260_v1_7	39328
1899-01-01	2006-12-31	H3260_v1_0	39329
2007-01-01	2007-12-31	H3260_v1_2	39329
2008-01-01	2009-12-31	H3260_v1_3	39329
2010-01-01	2011-12-31	H3260_v1_4	39329
2012-01-01	2015-12-31	H3260_v1_5	39329
2016-01-01	2017-12-31	H3260_v1_6	39329
2018-01-01	2018-12-31	H3260_v1_7	39329
1899-01-01	2006-12-31	H3260_v1_0	39330
2007-01-01	2007-12-31	H3260_v1_2	39330
2008-01-01	2009-12-31	H3260_v1_3	39330
2010-01-01	2011-12-31	H3260_v1_4	39330
2012-01-01	2015-12-31	H3260_v1_5	39330
2016-01-01	2017-12-31	H3260_v1_6	39330
2018-01-01	2018-12-31	H3260_v1_7	39330
1899-01-01	2006-12-31	H3260_v1_0	39331
2007-01-01	2007-12-31	H3260_v1_2	39331
2008-01-01	2009-12-31	H3260_v1_3	39331
2010-01-01	2011-12-31	H3260_v1_4	39331
2012-01-01	2015-12-31	H3260_v1_5	39331
2016-01-01	2017-12-31	H3260_v1_6	39331
2018-01-01	2018-12-31	H3260_v1_7	39331
1899-01-01	2006-12-31	H3260_v1_0	39332
2007-01-01	2007-12-31	H3260_v1_2	39332
2008-01-01	2009-12-31	H3260_v1_3	39332
2010-01-01	2011-12-31	H3260_v1_4	39332
2012-01-01	2015-12-31	H3260_v1_5	39332
2016-01-01	2017-12-31	H3260_v1_6	39332
2018-01-01	2018-12-31	H3260_v1_7	39332
1899-01-01	2006-12-31	H3260_v1_0	39333
2007-01-01	2007-12-31	H3260_v1_2	39333
2008-01-01	2009-12-31	H3260_v1_3	39333
2010-01-01	2011-12-31	H3260_v1_4	39333
2012-01-01	2015-12-31	H3260_v1_5	39333
2016-01-01	2017-12-31	H3260_v1_6	39333
2018-01-01	2018-12-31	H3260_v1_7	39333
1899-01-01	2006-12-31	H3260_v1_0	39334
2007-01-01	2007-12-31	H3260_v1_2	39334
2008-01-01	2009-12-31	H3260_v1_3	39334
2010-01-01	2011-12-31	H3260_v1_4	39334
2012-01-01	2015-12-31	H3260_v1_5	39334
2016-01-01	2017-12-31	H3260_v1_6	39334
2018-01-01	2018-12-31	H3260_v1_7	39334
1899-01-01	2006-12-31	H3260_v1_0	39335
2007-01-01	2007-12-31	H3260_v1_2	39335
2008-01-01	2009-12-31	H3260_v1_3	39335
2010-01-01	2011-12-31	H3260_v1_4	39335
2012-01-01	2015-12-31	H3260_v1_5	39335
2016-01-01	2017-12-31	H3260_v1_6	39335
2018-01-01	2018-12-31	H3260_v1_7	39335
1899-01-01	2006-12-31	H3260_v1_0	39336
2007-01-01	2007-12-31	H3260_v1_2	39336
2008-01-01	2009-12-31	H3260_v1_3	39336
2010-01-01	2011-12-31	H3260_v1_4	39336
2012-01-01	2015-12-31	H3260_v1_5	39336
2016-01-01	2017-12-31	H3260_v1_6	39336
2018-01-01	2018-12-31	H3260_v1_7	39336
1899-01-01	2006-12-31	H3260_v1_0	39337
2007-01-01	2007-12-31	H3260_v1_2	39337
2008-01-01	2009-12-31	H3260_v1_3	39337
2010-01-01	2011-12-31	H3260_v1_4	39337
2012-01-01	2015-12-31	H3260_v1_5	39337
2016-01-01	2017-12-31	H3260_v1_6	39337
2018-01-01	2018-12-31	H3260_v1_7	39337
1899-01-01	2006-12-31	H3260_v1_0	39338
2007-01-01	2007-12-31	H3260_v1_2	39338
2008-01-01	2009-12-31	H3260_v1_3	39338
2010-01-01	2011-12-31	H3260_v1_4	39338
2012-01-01	2015-12-31	H3260_v1_5	39338
2016-01-01	2017-12-31	H3260_v1_6	39338
2018-01-01	2018-12-31	H3260_v1_7	39338
1899-01-01	2006-12-31	H3260_v1_0	39339
2007-01-01	2007-12-31	H3260_v1_2	39339
2008-01-01	2009-12-31	H3260_v1_3	39339
2010-01-01	2011-12-31	H3260_v1_4	39339
2012-01-01	2015-12-31	H3260_v1_5	39339
2016-01-01	2017-12-31	H3260_v1_6	39339
2018-01-01	2018-12-31	H3260_v1_7	39339
1899-01-01	2006-12-31	H3260_v1_0	39340
2007-01-01	2007-12-31	H3260_v1_2	39340
2008-01-01	2009-12-31	H3260_v1_3	39340
2010-01-01	2011-12-31	H3260_v1_4	39340
2012-01-01	2015-12-31	H3260_v1_5	39340
2016-01-01	2017-12-31	H3260_v1_6	39340
2018-01-01	2018-12-31	H3260_v1_7	39340
1899-01-01	2006-12-31	H3260_v1_0	39342
2007-01-01	2007-12-31	H3260_v1_2	39342
2008-01-01	2009-12-31	H3260_v1_3	39342
2010-01-01	2011-12-31	H3260_v1_4	39342
2012-01-01	2015-12-31	H3260_v1_5	39342
2016-01-01	2017-12-31	H3260_v1_6	39342
2018-01-01	2018-12-31	H3260_v1_7	39342
1899-01-01	2006-12-31	H3260_v1_0	39343
2007-01-01	2007-12-31	H3260_v1_2	39343
2008-01-01	2009-12-31	H3260_v1_3	39343
2010-01-01	2011-12-31	H3260_v1_4	39343
2012-01-01	2015-12-31	H3260_v1_5	39343
2016-01-01	2017-12-31	H3260_v1_6	39343
2018-01-01	2018-12-31	H3260_v1_7	39343
1899-01-01	2006-12-31	H3260_v1_0	39344
2007-01-01	2007-12-31	H3260_v1_2	39344
2008-01-01	2009-12-31	H3260_v1_3	39344
2010-01-01	2011-12-31	H3260_v1_4	39344
2012-01-01	2015-12-31	H3260_v1_5	39344
2016-01-01	2017-12-31	H3260_v1_6	39344
2018-01-01	2018-12-31	H3260_v1_7	39344
1899-01-01	2006-12-31	H3260_v1_0	39345
2007-01-01	2007-12-31	H3260_v1_2	39345
2008-01-01	2009-12-31	H3260_v1_3	39345
2010-01-01	2011-12-31	H3260_v1_4	39345
2012-01-01	2015-12-31	H3260_v1_5	39345
2016-01-01	2017-12-31	H3260_v1_6	39345
2018-01-01	2018-12-31	H3260_v1_7	39345
1899-01-01	2006-12-31	H3260_v1_0	39346
2007-01-01	2007-12-31	H3260_v1_2	39346
2008-01-01	2009-12-31	H3260_v1_3	39346
2010-01-01	2011-12-31	H3260_v1_4	39346
2012-01-01	2015-12-31	H3260_v1_5	39346
2016-01-01	2017-12-31	H3260_v1_6	39346
2018-01-01	2018-12-31	H3260_v1_7	39346
1899-01-01	2006-12-31	H3260_v1_0	39347
2007-01-01	2007-12-31	H3260_v1_2	39347
2008-01-01	2009-12-31	H3260_v1_3	39347
2010-01-01	2011-12-31	H3260_v1_4	39347
2012-01-01	2015-12-31	H3260_v1_5	39347
2016-01-01	2017-12-31	H3260_v1_6	39347
2018-01-01	2018-12-31	H3260_v1_7	39347
1899-01-01	2006-12-31	H3260_v1_0	39348
2007-01-01	2007-12-31	H3260_v1_2	39348
2008-01-01	2009-12-31	H3260_v1_3	39348
2010-01-01	2011-12-31	H3260_v1_4	39348
2012-01-01	2015-12-31	H3260_v1_5	39348
2016-01-01	2017-12-31	H3260_v1_6	39348
2018-01-01	2018-12-31	H3260_v1_7	39348
1899-01-01	2006-12-31	H3260_v1_0	39349
2007-01-01	2007-12-31	H3260_v1_2	39349
2008-01-01	2009-12-31	H3260_v1_3	39349
2010-01-01	2011-12-31	H3260_v1_4	39349
2012-01-01	2015-12-31	H3260_v1_5	39349
2016-01-01	2017-12-31	H3260_v1_6	39349
2018-01-01	2018-12-31	H3260_v1_7	39349
1899-01-01	2006-12-31	H3260_v1_0	39350
2007-01-01	2007-12-31	H3260_v1_2	39350
2008-01-01	2009-12-31	H3260_v1_3	39350
2010-01-01	2011-12-31	H3260_v1_4	39350
2012-01-01	2015-12-31	H3260_v1_5	39350
2016-01-01	2017-12-31	H3260_v1_6	39350
2018-01-01	2018-12-31	H3260_v1_7	39350
1899-01-01	2006-12-31	H3260_v1_0	39351
2007-01-01	2007-12-31	H3260_v1_2	39351
2008-01-01	2009-12-31	H3260_v1_3	39351
2010-01-01	2011-12-31	H3260_v1_4	39351
2012-01-01	2015-12-31	H3260_v1_5	39351
2016-01-01	2017-12-31	H3260_v1_6	39351
2018-01-01	2018-12-31	H3260_v1_7	39351
1899-01-01	2006-12-31	H3260_v1_0	39352
2007-01-01	2007-12-31	H3260_v1_2	39352
2008-01-01	2009-12-31	H3260_v1_3	39352
2010-01-01	2011-12-31	H3260_v1_4	39352
2012-01-01	2015-12-31	H3260_v1_5	39352
2016-01-01	2017-12-31	H3260_v1_6	39352
2018-01-01	2018-12-31	H3260_v1_7	39352
1899-01-01	2006-12-31	H3260_v1_0	39353
2007-01-01	2007-12-31	H3260_v1_2	39353
2008-01-01	2009-12-31	H3260_v1_3	39353
2010-01-01	2011-12-31	H3260_v1_4	39353
2012-01-01	2015-12-31	H3260_v1_5	39353
2016-01-01	2017-12-31	H3260_v1_6	39353
2018-01-01	2018-12-31	H3260_v1_7	39353
1899-01-01	2006-12-31	H3260_v1_0	39354
2007-01-01	2007-12-31	H3260_v1_2	39354
2008-01-01	2009-12-31	H3260_v1_3	39354
2010-01-01	2011-12-31	H3260_v1_4	39354
2012-01-01	2015-12-31	H3260_v1_5	39354
2016-01-01	2017-12-31	H3260_v1_6	39354
2018-01-01	2018-12-31	H3260_v1_7	39354
1899-01-01	2006-12-31	H3260_v1_0	39355
2007-01-01	2007-12-31	H3260_v1_2	39355
2008-01-01	2009-12-31	H3260_v1_3	39355
2010-01-01	2011-12-31	H3260_v1_4	39355
2012-01-01	2015-12-31	H3260_v1_5	39355
2016-01-01	2017-12-31	H3260_v1_6	39355
2018-01-01	2018-12-31	H3260_v1_7	39355
1899-01-01	2006-12-31	H3260_v1_0	39356
2007-01-01	2007-12-31	H3260_v1_2	39356
2008-01-01	2009-12-31	H3260_v1_3	39356
2010-01-01	2011-12-31	H3260_v1_4	39356
2012-01-01	2015-12-31	H3260_v1_5	39356
2016-01-01	2017-12-31	H3260_v1_6	39356
2018-01-01	2018-12-31	H3260_v1_7	39356
1899-01-01	2006-12-31	H3260_v1_0	39357
2007-01-01	2007-12-31	H3260_v1_2	39357
2008-01-01	2009-12-31	H3260_v1_3	39357
2010-01-01	2011-12-31	H3260_v1_4	39357
2012-01-01	2015-12-31	H3260_v1_5	39357
2016-01-01	2017-12-31	H3260_v1_6	39357
2018-01-01	2018-12-31	H3260_v1_7	39357
1899-01-01	2006-12-31	H3260_v1_0	39358
2007-01-01	2007-12-31	H3260_v1_2	39358
2008-01-01	2009-12-31	H3260_v1_3	39358
2010-01-01	2011-12-31	H3260_v1_4	39358
2012-01-01	2015-12-31	H3260_v1_5	39358
2016-01-01	2017-12-31	H3260_v1_6	39358
2018-01-01	2018-12-31	H3260_v1_7	39358
1899-01-01	2006-12-31	H3260_v1_0	39359
2007-01-01	2007-12-31	H3260_v1_2	39359
2008-01-01	2009-12-31	H3260_v1_3	39359
2010-01-01	2011-12-31	H3260_v1_4	39359
2012-01-01	2015-12-31	H3260_v1_5	39359
2016-01-01	2017-12-31	H3260_v1_6	39359
2018-01-01	2018-12-31	H3260_v1_7	39359
1899-01-01	2006-12-31	H3260_v1_0	39360
2007-01-01	2007-12-31	H3260_v1_2	39360
2008-01-01	2009-12-31	H3260_v1_3	39360
2010-01-01	2011-12-31	H3260_v1_4	39360
2012-01-01	2015-12-31	H3260_v1_5	39360
2016-01-01	2017-12-31	H3260_v1_6	39360
2018-01-01	2018-12-31	H3260_v1_7	39360
1899-01-01	2006-12-31	H3260_v1_0	39361
2007-01-01	2007-12-31	H3260_v1_2	39361
2008-01-01	2009-12-31	H3260_v1_3	39361
2010-01-01	2011-12-31	H3260_v1_4	39361
2012-01-01	2015-12-31	H3260_v1_5	39361
2016-01-01	2017-12-31	H3260_v1_6	39361
2018-01-01	2018-12-31	H3260_v1_7	39361
1899-01-01	2006-12-31	H3260_v1_0	39362
2007-01-01	2007-12-31	H3260_v1_2	39362
2008-01-01	2009-12-31	H3260_v1_3	39362
2010-01-01	2011-12-31	H3260_v1_4	39362
2012-01-01	2015-12-31	H3260_v1_5	39362
2016-01-01	2017-12-31	H3260_v1_6	39362
2018-01-01	2018-12-31	H3260_v1_7	39362
1899-01-01	2006-12-31	H3260_v1_0	39363
2007-01-01	2007-12-31	H3260_v1_2	39363
2008-01-01	2009-12-31	H3260_v1_3	39363
2010-01-01	2011-12-31	H3260_v1_4	39363
2012-01-01	2015-12-31	H3260_v1_5	39363
2016-01-01	2017-12-31	H3260_v1_6	39363
2018-01-01	2018-12-31	H3260_v1_7	39363
1899-01-01	2006-12-31	H3260_v1_0	39364
2007-01-01	2007-12-31	H3260_v1_2	39364
2008-01-01	2009-12-31	H3260_v1_3	39364
2010-01-01	2011-12-31	H3260_v1_4	39364
2012-01-01	2015-12-31	H3260_v1_5	39364
2016-01-01	2017-12-31	H3260_v1_6	39364
2018-01-01	2018-12-31	H3260_v1_7	39364
1899-01-01	2006-12-31	H3260_v1_0	39365
2007-01-01	2007-12-31	H3260_v1_2	39365
2008-01-01	2009-12-31	H3260_v1_3	39365
2010-01-01	2011-12-31	H3260_v1_4	39365
2012-01-01	2015-12-31	H3260_v1_5	39365
2016-01-01	2017-12-31	H3260_v1_6	39365
2018-01-01	2018-12-31	H3260_v1_7	39365
1899-01-01	2006-12-31	H3260_v1_0	39366
2007-01-01	2007-12-31	H3260_v1_2	39366
2008-01-01	2009-12-31	H3260_v1_3	39366
2010-01-01	2011-12-31	H3260_v1_4	39366
2012-01-01	2015-12-31	H3260_v1_5	39366
2016-01-01	2017-12-31	H3260_v1_6	39366
2018-01-01	2018-12-31	H3260_v1_7	39366
1899-01-01	2006-12-31	H3260_v1_0	39367
2007-01-01	2007-12-31	H3260_v1_2	39367
2008-01-01	2009-12-31	H3260_v1_3	39367
2010-01-01	2011-12-31	H3260_v1_4	39367
2012-01-01	2015-12-31	H3260_v1_5	39367
2016-01-01	2017-12-31	H3260_v1_6	39367
2018-01-01	2018-12-31	H3260_v1_7	39367
1899-01-01	2006-12-31	H3260_v1_0	39368
2007-01-01	2007-12-31	H3260_v1_2	39368
2008-01-01	2009-12-31	H3260_v1_3	39368
2010-01-01	2011-12-31	H3260_v1_4	39368
2012-01-01	2015-12-31	H3260_v1_5	39368
2016-01-01	2017-12-31	H3260_v1_6	39368
2018-01-01	2018-12-31	H3260_v1_7	39368
1899-01-01	2006-12-31	H3260_v1_0	39369
2007-01-01	2007-12-31	H3260_v1_2	39369
2008-01-01	2009-12-31	H3260_v1_3	39369
2010-01-01	2011-12-31	H3260_v1_4	39369
2012-01-01	2015-12-31	H3260_v1_5	39369
2016-01-01	2017-12-31	H3260_v1_6	39369
2018-01-01	2018-12-31	H3260_v1_7	39369
