;Gebied;Labo_ID_db;Datum;VEGID_INBOVEG;id_n2khab;system_type;habitattype;sbz;geometry;AfstandBron;Kalktuf;Schaduw;Periode;pH_veld;pH_labo;EC_veld_25grC;EC_labo_25grC;Buffercapaciteit_TAP;Buffercapaciteit_TAM;HCO3;CO3;OH;SO4;Cl;PO4;NO2;NO3;NH4;Ca;K;Mg;Na;Mn;Al;Fe;SO4_S;PO4_P;NO2_N;NO3_N;NH4_N
69;Neerlanden;B_11_1766;16/11/2011;Neerlanden;60;NA;gh;0;c(5.0810467, 50.7807142);A;3;4;Najaar;7.00;7,31;821;820,1;0,005;5,157;314,577;0,5;0,5;91,96107317;43,07453873;0,05;0,05;38,61075455;0,05;140,8444332;5,796158612;18,66125413;18,42259876;0.050;0.050;0,05;30,69461721;0,016307893;0,0152207;8,722046298;0,038825905
70;Lombergbos;B_11_1767;16/11/2011;GeenVegOpn;46;NA;gh;1;c(4.1025604, 50.7803258);A;1;5;Najaar;7.58;7,68;746;733,1;0,005;5,552;338,672;0,5;0,5;66,07502439;38,52148665;0,05;0,05;5,717849089;0,05;139,5925441;2,119206939;10,1899058;15,73671546;0.050;0.050;0,121107;22,05441402;0,016307893;0,0152207;1,291643871;0,038825905
71;Mater-Kerkgate;B_11_1768;17/11/2011;Kerkgate;73;mire;7220;0;c(3.676738, 50.8490249);B;3;2;Najaar;7.01;7,27;1056;1051;0,005;6,922;422,242;0,5;0,5;191,5880976;44,90666719;0,05;0,05;0,05;0,05;222,64;5,309665428;13,9091208;17,74964909;0.050;0.050;0,330627;63,94796314;0,016307893;0,0152207;0,011294841;0,038825905
72;Meldertbos;B_11_1770;16/11/2011;Meldertbos 1;19;NA;gh;1;c(4.8326443, 50.7821618);C;2;4;Najaar;7.45;7,78;931;924,1;0,005;6,193;377,773;0,5;0,5;90,58809756;30,04306159;0,05;0,05;85,96444059;0,05;178,5729975;1,860842627;19,27656837;11,35973531;0.050;0.050;0,05;30,23634765;0,016307893;0,0152207;19,41909293;0,038825905
73;Kwinten;B_11_1771;16/11/2011;GeenVegOpn;72;rivulet;7220;1;c(5.8125166, 50.7513399);A;3;5;Najaar;7.61;7,91;717;712,4;0,005;5,306;323,666;0,5;0,5;51,17619512;20,64118296;0,05;0,05;55,28159584;0,05;155,6122922;1,719950434;2,544998311;6,363444957;0.050;0.050;0,05;17,08150705;0,016307893;0,0152207;12,48793617;0,038825905
74;Hornebeek;B_11_1772;16/11/2011;Hornebeek;58;rivulet;7220;0;c(5.2384528, 50.7216672);A;2;3;Najaar;6.95;7,39;966;967,6;0,005;6,31;384,91;0,5;0,5;104,7219512;55,42831079;0,05;0,05;41,96305291;0,05;185,8478589;1,621561338;19,60852475;12,23160217;0.050;0.050;0,05;34,9539223;0,016307893;0,0152207;9,479319803;0,038825905
75;Kwinten;B_11_1773;16/11/2011;Kwinten 1;72;rivulet;7220;1;c(5.8125166, 50.7513399);B;5;3;Najaar;8.17;7,97;691;674,9;0,005;4,922;300,242;0,5;0,5;52,40253659;19,63814973;0,05;0,05;53,27136167;0,05;150,5514358;1,656133829;2,634850166;6,056446762;0.050;0.050;0,05;17,49083331;0,016307893;0,0152207;12,03383068;0,038825905
76;Wijngaardbos 1;B_11_1774;16/11/2011;Wijngaardbos 1;32;rivulet;7220;1;c(5.4758737, 50.8171063);A;1;5;Najaar;6.97;7,44;864;868,6;0,005;6,89;420,29;0,5;0,5;70,48614634;31,2690908;0,05;0,05;34,66074588;0,05;164,031335;1,156629492;17,24881005;16,77030279;0.050;0.050;0,05;23,52675112;0,016307893;0,0152207;7,829751938;0,038825905
77;Steenputbeek 1;B_11_1775;17/11/2011;Steenputbeek 1;2;rivulet;7220;1;c(4.278431, 50.7137719);C;3;5;Najaar;8.08;8,13;694;683;0,005;5,316;324,276;0,5;0,5;78,79892683;22,3587481;0,11007552;0,05;8,641873374;0,05;136,9662469;1,107187113;9,333428625;11,48806898;0.050;0.050;0,05;26,30137745;0,035901996;0,0152207;1,95217163;0,038825905
78;Klein-Gelmen;B_11_1777;17/11/2011;GeenVegOpn;70;NA;gh;1;c(5.2861004, 50.7732902);A;2;5;Najaar;6.92;7,36;1006;1004;0,005;6,524;397,964;0,5;0,5;101,5828293;53,70388535;0,05;0,05;55,52627927;0,05;206,377733;3,886864932;11,16965166;16,6858833;0.050;0.050;0,05;33,90615129;0,016307893;0,0152207;12,54320938;0,038825905
79;Mabroek;B_11_1779;16/11/2011;Mabroek;75;rivulet;7220;0;c(5.9012548, 50.7274686);A;2;5;Najaar;6.77;7,28;713;711,4;0,005;4,878;297,558;0,5;0,5;92,74058537;17,11650352;0,163344999;0,05;32,57880312;0,05;151,404131;1,719702602;3,197606524;5,417585723;0.050;0.050;0,05;30,95480152;0,053276255;0,0152207;7,35944771;0,038825905
80;Aardgat;B_11_1780;17/11/2011;Aardgat;62;NA;gh;0;c(4.9126524, 50.8134516);B;3;1;Najaar;7.69;7,93;1135;1119;0,005;6,824;416,264;0,5;0,5;147,9503415;74,99877387;0,05;0,05;40,02442324;0,05;212,8541058;1,915489467;27,83780236;16,47814317;0.050;0.050;0,05;49,38262399;0,016307893;0,0152207;9,041389546;0,038825905
81;Krindaal;B_11_1781;16/11/2011;Krindaal 1;8;rivulet;7220;1;c(5.8320205, 50.745719);A;3;5;Najaar;7.95;8,04;717;716,1;0,005;5,739;350,079;0,5;0,5;51,45434146;24,95178867;0,05;0,05;30,46501301;0,05;160,0915869;4,080049566;2,885875597;7,380689793;0.050;0.050;0,05;17,17434628;0,016307893;0,0152207;6,881949266;0,038825905
82;Krindaal;B_11_1782;16/11/2011;Krindaal 2;8;rivulet;7220;1;c(5.8320205, 50.745719);B;4;4;Najaar;7.45;7,89;651;651,3;0,005;5,162;314,882;0,5;0,5;44,97970732;19,68437198;0,05;0,05;28,45529922;0,05;141,1977834;1,834324659;2,712348598;6,703128133;0.050;0.050;0,05;15,01325344;0,016307893;0,0152207;6,427961331;0,038825905
83;Fonteinbeek;B_11_1783;16/11/2011;Fonteinbeek;61;rivulet;7220;0;c(4.8444083, 50.8099866);B;3;3;Najaar;7.36;7,85;924;918;0,005;7,669;467,809;0,5;0,5;81,54204878;21,87305253;0,05;0,05;33,63028621;0,05;172,0771788;6,504052117;22,13896314;12,56827752;0.050;0.050;0,05;27,21697222;0,016307893;0,0152207;7,596974386;0,038825905
84;Wijngaardbos 1;B_12_0347;28/02/2012;Wijngaardbos 1;32;rivulet;7220;1;c(5.4758737, 50.8171063);A;1;5;Lente;7.09;7,04;874;870,7;0,005;6,829;416,569;0,5;0,5;62,88417476;32,47022493;0,025;0,05;33,9046;0,05;157,9518384;1,209442717;16,15582111;17,23977247;NB;NB;0,05;20,98937742;0,008153947;0,0152207;7,658940996;0,038825905
85;Wijngaardbos 1;B_12_0348;28/02/2012;Wijngaardbos 1;32;rivulet;7220;1;c(5.4758737, 50.8171063);B;5;4;Lente;7.97;7,9;875;869,1;0,005;6,853;418,033;0,5;0,5;67,70514563;33,61301536;0,025;0,05;29,1038;0,05;158,8728081;1,16817588;16,48010647;17,33813557;NB;NB;0,05;22,59851323;0,008153947;0,0152207;6,574455589;0,038825905
86;Wijngaardbos 2;B_12_0349;28/02/2012;Wijngaardbos 2;83;rivulet;7220;1;c(5.4808115, 50.8167466);C;5;4;Lente;8.21;8,07;727;715;0,005;4,92;300,12;0,5;0,5;67,24728155;33,33370605;0,025;0,05;26,7659;0,05;114,5028687;1,281975042;16,07474977;17,32810055;NB;NB;0,05;22,4456881;0,008153947;0,0152207;6,046331436;0,038825905
87;Wijngaardbos 2;B_12_0350;28/02/2012;Wijngaardbos 2;83;rivulet;7220;1;c(5.4808115, 50.8167466);D;3;4;Lente;8.26;8,09;703;693,9;0,005;4,772;291,092;0,5;0,5;67,5638835;33,26809648;0,025;0,05;25,7752;0,05;108,9285657;1,384241114;15,84861508;17,15114633;NB;NB;0,05;22,55136298;0,008153947;0,0152207;5,822535466;0,038825905
88;Hornebeek;B_12_0351;28/02/2012;Hornebeek;58;rivulet;7220;0;c(5.2384528, 50.7216672);A;2;3;Lente;7.25;7,33;985;978,7;0,005;6,374;388,814;0,5;0,5;94,90980583;56,23401075;0,025;0,05;41,2728;0,05;179,5366465;1,453709961;18,29051488;12,2943938;NB;NB;0,05;31,6788404;0,008153947;0,0152207;9,323393874;0,038825905
89;Hornebeek;B_12_0352;28/02/2012;Hornebeek;58;rivulet;7220;0;c(5.2384528, 50.7216672);B;4;3;Lente;8.02;7,96;979;971,9;0,005;6,323;385,703;0,5;0,5;98,8631068;57,26728746;0,025;0,05;37,9039;0,05;179,7379394;1,394963283;18,14711509;12,37209071;NB;NB;0,05;32,99836675;0,008153947;0,0152207;8,562370109;0,038825905
90;Mabroek;B_12_0353;28/02/2012;Mabroek;75;rivulet;7220;0;c(5.9012548, 50.7274686);A;2;5;Lente;6.68;6,8;597;590,1;0,005;3,479;212,219;0,5;0,5;70,21524272;14,1193;0,089237668;0,05;44,8974;0,05;112,0900202;1,421543452;2,269238852;5,329193472;NB;NB;0,05;23,43632935;0,029105567;0,0152207;10,14217945;0,038825905
91;Mabroek;B_12_0354;28/02/2012;Mabroek;75;rivulet;7220;0;c(5.9012548, 50.7274686);C;5;5;Lente;7.99;7,93;604;593,2;0,005;3,618;220,698;0,5;0,5;70,44417476;14,3931;0,068497758;0,05;41,2851;0,05;114,5552323;1,467946119;2,269575085;5,319357162;NB;NB;0,05;23,51274191;0,022341082;0,0152207;9,326172404;0,038825905
92;Mabroek;B_12_0355;28/02/2012;Mabroek;75;rivulet;7220;0;c(5.9012548, 50.7274686);B;5;5;Lente;7.57;7,61;604;594,3;0,005;3,585;218,685;0,5;0,5;70,92679612;14,4111;0,101008969;0,05;42,9999;0,05;114,1714747;1,570933009;2,343798596;5,381157008;NB;NB;0,05;23,67383048;0,032944869;0,0152207;9,713540255;0,038825905
93;Mabroek;B_12_0356;28/02/2012;Mabroek;75;rivulet;7220;0;c(5.9012548, 50.7274686);D;4;4;Lente;8.17;8,03;600;591;0,005;3,648;222,528;0,5;0,5;70,64339806;14,4696;0,084753363;0,05;41,2608;0,05;114,6349091;1,517412263;2,31429412;5,277031223;NB;NB;0,05;23,57923834;0,027642976;0,0152207;9,320683112;0,038825905
94;Hornebeek;B_12_0357;28/02/2012;GeenVegOpn;58;rivulet;7220;0;c(5.2384528, 50.7216672);C;4;3;Lente;8.03;7,96;957;950,8;0,005;6,072;370,392;0,5;0,5;99,73669903;57,1201839;0,025;0,05;35,7338;0,05;172,7336566;1,514709195;18,20511825;12,49787625;NB;NB;0,05;33,28995295;0,008153947;0,0152207;8,072151441;0,038825905
95;Kwinten;B_12_0358;28/02/2012;GeenVegOpn;72;rivulet;7220;1;c(5.8125166, 50.7513399);A;3;5;Lente;7.09;7,22;725;726,5;0,005;5,318;324,398;0,5;0,5;44,05135922;18,7213;0,025;0,05;55,9543;0,05;148,7709091;1,531558319;1,968057832;6,009389205;NB;NB;0,05;14,70339093;0,008153947;0,0152207;12,63989789;0,038825905
96;Kwinten;B_12_0359;28/02/2012;Kwinten 1;72;rivulet;7220;1;c(5.8125166, 50.7513399);B;5;3;Lente;7.90;7,88;723;716;0,005;5,306;323,666;0,5;0,5;44,8423301;18,9739;0,025;0,05;54,3628;0,05;148,4542222;1,581114565;1,953767915;6,035321295;NB;NB;0,05;14,9673999;0,008153947;0,0152207;12,28038312;0,038825905
97;Kwinten;B_12_0360;28/02/2012;Kwinten 1;72;rivulet;7220;1;c(5.8125166, 50.7513399);C;5;2;Lente;8.10;8,01;714;693,1;0,005;5,048;307,928;0,5;0,5;44,83194175;18,7417;0,025;0,05;53,126;0,05;142,8862222;1,624003244;1,960912874;6,060657244;NB;NB;0,05;14,96393249;0,008153947;0,0152207;12,00099395;0,038825905
98;Kwinten;B_12_0361;28/02/2012;Kwinten 1;72;rivulet;7220;1;c(5.8125166, 50.7513399);D;2;1;Lente;8.10;7,92;698;680,5;0,005;4,913;299,693;0,5;0,5;44,69378641;18,6158;0,025;0,05;52,998;0,05;138,112;1,541829977;1,958895473;6,031446385;NB;NB;0,05;14,91781923;0,008153947;0,0152207;11,97207915;0,038825905
99;Enamebos;B_12_0363;1/03/2012;Ename 2;40;mire;7220;1;c(3.6494108, 50.8537526);B;5;4;Lente;7.84;7,8;1013;1007;0,005;6,693;408,273;0,5;0,5;91,67679612;51,0377897;0,025;0,05;58,0523;0,05;189,60472;1,922889044;14,9055;13,45130193;NB;NB;0,05;30,59973168;0,008153947;0,0152207;13,1138294;0,038825905
100;Enamebos;B_12_0364;1/03/2012;Ename 2;40;mire;7220;1;c(3.6494108, 50.8537526);C;5;4;Lente;7.94;7,88;968;961,6;0,005;6,168;376,248;0,5;0,5;93,39699029;52,12487032;0,025;0,05;57,6939;0,05;176,85944;2,302686671;15,1314;13,74836017;NB;NB;0,05;31,17389529;0,008153947;0,0152207;13,03286799;0,038825905
101;Enamebos;B_12_0365;1/03/2012;Ename 3;40;mire;7220;1;c(3.6494108, 50.8537526);D;4;5;Lente;7.80;7,82;848;843,1;0,005;4,577;279,197;0,5;0,5;92,10223301;51,92691244;0,025;0,05;53,0935;0,05;139,02856;1,909630147;14,8623;13,71357583;NB;NB;0,05;30,74173331;0,008153947;0,0152207;11,9936523;0,038825905
102;Feelbos 1;B_12_0366;1/03/2012;Feelbos 1;16;rivulet;7220;1;c(3.5379533, 50.7719859);A;4;4;Lente;6.95;7,12;833;833,2;0,005;5,122;312,442;0,5;0,5;82,60524272;37,74155279;0,025;0,05;52,7321;0,05;145,9392;3,249825541;8,3383;16,65255416;NB;NB;0,05;27,57184336;0,008153947;0,0152207;11,91201319;0,038825905
103;Feelbos 1;B_12_0367;1/03/2012;Feelbos 2;16;rivulet;7220;1;c(3.5379533, 50.7719859);B;5;4;Lente;7.55;7,64;846;846,5;0,005;5,221;318,481;0,5;0,5;88,5623301;40,96645934;0,057809214;0,05;45,3059;0,05;150,7352;3,202896022;7,9853;16,54899622;NB;NB;0,05;29,56019029;0,01885493;0,0152207;10,2344583;0,038825905
104;Feelbos 1;B_12_0368;1/03/2012;Feelbos 2;16;rivulet;7220;1;c(3.5379533, 50.7719859);C;5;4;Lente;8.16;8,1;840;837,5;0,005;5,24;319,64;0,5;0,5;90,15912621;41,75203641;0,069049895;0,05;43,3099;0,05;149,0108;3,338712491;8,0478;16,80252435;NB;NB;0,05;30,09316629;0,022521166;0,0152207;9,783568266;0,038825905
105;Feelbos 1;B_12_0369;1/03/2012;Feelbos 2;16;rivulet;7220;1;c(3.5379533, 50.7719859);D;4;4;Lente;8.20;8,09;821;815,4;0,005;4,953;302,133;0,5;0,5;90,41436893;41,70140526;0,025;0,05;43,1632;0,05;144,94928;3,29239358;8,0966;16,87010535;NB;NB;0,05;30,17836079;0,008153947;0,0152207;9,750429204;0,038825905
106;Galmaarden 1;B_12_0370;1/03/2012;Galmaarden 3;79;rivulet;7220;1;c(3.9413906, 50.7622864);A;2;5;Lente;7.51;7,61;900;896,5;0,005;6,079;370,819;0,5;0,5;114,8218447;33,31390818;0,025;0,05;24,9491;0,05;169,86464;3,12709351;9,4214;14,90399523;NB;NB;0,05;38,32504828;0,008153947;0,0152207;5,635922111;0,038825905
107;Galmaarden 1;B_12_0371;1/03/2012;Galmaarden 2;79;rivulet;7220;1;c(3.9413906, 50.7622864);B;3;5;Lente;7.92;7,91;878;876,1;0,005;6,315;385,215;0,5;0,5;108,3563107;30,35853805;0,025;0,05;17,8346;0,05;166,80384;3,937718074;10,2173;13,91293977;NB;NB;0,05;36,16699288;0,008153947;0,0152207;4,028779254;0,038825905
108;Galmaarden 1;B_12_0372;1/03/2012;Galmaarden 2;79;rivulet;7220;1;c(3.9413906, 50.7622864);C;3;5;Lente;8.08;8,01;922;919,2;0,005;6,815;415,715;0,5;0,5;108,9483495;31,34495202;0,025;0,05;23,3058;0,05;173,9224;3,172540126;14,6668;12,17123832;NB;NB;0,05;36,36460264;0,008153947;0,0152207;5,264705882;0,038825905
109;Galmaarden 1;B_12_0373;1/03/2012;Galmaarden 1;79;rivulet;7220;1;c(3.9413906, 50.7622864);D;3;5;Lente;8.17;8,03;922;919,9;0,005;6,955;424,255;0,5;0,5;110,5693204;32,39778216;0,025;0,05;16,5801;0,05;176,14608;3,04230635;16,8711;12,25501888;NB;NB;0,05;36,90564766;0,008153947;0,0152207;3,745391705;0,038825905
110;Poelbos;B_12_0374;1/03/2012;GeenVegOpn;68;rivulet;7220;0;c(4.3123264, 50.882499);C;5;4;Lente;8.13;7,88;927;912,3;0,005;5,34;325,74;0,5;0,5;88,56786408;87,43314951;0,025;0,05;2,9747;0,05;146,90688;2,972871598;17,7089;20,36344663;NB;NB;0,05;29,56203741;0,008153947;0,0152207;0,671975242;0,038825905
111;Poelbos;B_12_0375;1/03/2012;GeenVegOpn;68;rivulet;7220;0;c(4.3123264, 50.882499);B;5;4;Lente;8.12;7,81;954;929,7;0,005;5,587;340,807;0,5;0,5;88,53601942;87,38698581;0,025;0,05;2,9407;0,05;154,58064;3,000697837;17,6847;20,37954681;NB;NB;0,05;29,55140835;0,008153947;0,0152207;0,66429475;0,038825905
112;Poelbos;B_12_0376;1/03/2012;GeenVegOpn;68;rivulet;7220;0;c(4.3123264, 50.882499);A;2;4;Lente;8.24;7,85;955;932,9;0,005;5,716;348,676;0,5;0,5;92,8007767;82,46186531;0,025;0,05;1,709983926;0,05;159,02184;3,240404745;16,5828;19,87954681;NB;NB;0,05;30,97489209;0,008153947;0,0152207;0,386279915;0,038825905
113;Galmaarden 1;B_11_0396;19/04/2011;Galmaarden 2;79;rivulet;7220;1;c(3.9413906, 50.7622864);B;3;5;Lente;NB;8,15;919;908,3;0,005;6,736;410,896;0,5;0,5;108,780845;32,89518856;0,1;0,1;28,08700268;0,05;168,5878574;3,210975505;18,75433909;11,97504508;NB;NB;0,05;36,30869325;0,032615786;0,0304414;6,344764318;0,038825905
114;Enamebos;B_11_1058;6/09/2011;Ename 1;40;mire;7220;1;c(3.6494108, 50.8537526);A;3;5;Zomer;8.06;7,85;926;890,1;0,005;5,293;322,873;0,5;0,5;89,84904762;55,03323846;0,05;0,05;53,64558816;0,263382594;148,5291964;2,21695488;18,69169325;13,63963478;NB;NB;0,05;29,98966876;0,016307893;0,0152207;12,11836725;0,20452135
115;Enamebos;B_11_1754;17/11/2011;Ename 1;40;mire;7220;1;c(3.6494108, 50.8537526);A;3;5;Najaar;8.07;7,96;998;975,4;0,005;6,48;395,28;0,5;0,5;104,2284878;54,05730429;0,175944004;0,05;51,36405898;0,05;195,4707305;2,634696406;19,53705636;13,95789052;0.050;0.050;0,05;34,78921489;0,05738552;0,0152207;11,60297709;0,038825905
116;Enamebos;B_12_0362;1/03/2012;Ename 1;40;mire;7220;1;c(3.6494108, 50.8537526);A;3;5;Lente;6.99;7,21;1027;1020;0,005;6,651;405,711;0,5;0,5;91,74213592;51,51302759;0,025;0,05;60,3941;0,05;187,46776;1,886514306;14,8943;13,52991453;NB;NB;0,05;30,6215407;0,008153947;0,0152207;13,64283455;0,038825905
