type,drop_phab10,approach_cellbased,type_areaprop_phab10,type_level3prop_nolevel0avail,prop0.3,area_as_cells,area_pol_as_cells,success_rate,nr_polygons,mean_area_per_polygon,area,area_pol,area_pol_phab_greaterthan_10,area_phab_greaterthan_10,nr_polygons_phab_greaterthan_10,mean_area_per_polygon_phab_greaterthan_10,area_as_cells_phab_greaterthan_10,area_pol_as_cells_phab_greaterthan_10,success_rate_phab_greaterthan_10,polygonarea_reldiff
6410_mo,FALSE,FALSE,0.04946960174005169,0.5076923076923077,0.40971114126787656,331.838948023681,1055.04745268763,0.31,161,2110.57815388975,33.9803082776249,108.036859155213,72.0420668410272,32.2993159601266,119,2110.5781538897472,331.838948023681,1055.04745268763,0.3145251402468725,0
6410_ve,FALSE,FALSE,0.07716604604031889,0.5096153846153846,0.33027838521831004,201.498053271576,543.577867994858,0.37,77,2679.66242272849,20.6334006550094,55.6623736826734,32.7657300713262,19.0412027100966,52,2679.6624227284888,201.498053271576,543.577867994858,0.3706884793063025,0
6430_bz,FALSE,TRUE,0.2583775082908773,0.6041666666666666,0.6422265288544359,42.2602382285499,232.396867161053,0.18,36,1202.06899850097,4.32744839460351,23.7974391972918,7.46152865962502,3.2093330611485,18,1202.0689985009742,42.2602382285499,232.396867161053,0.18184512874376751,0
6430_hf,TRUE,FALSE,0.01261865663890265,0.19800332778702162,0.23101814655373956,13905.8967613363,24088.7832567091,0.58,2864,4971.94074148337,1423.96382836084,2466.69140548701,2242.03251828805,1405.99531774454,2788,5043.024812570072,13730.423024849,21894.8488114067,0.6271074599837262,0.10020322424694506
6430_hw,TRUE,FALSE,0.020079776410240363,0.12206572769953052,0.27998285532704204,665.833500922621,908.347434722599,0.73,348,1959.23420961139,68.1813504944764,93.0147773155941,73.2218508812728,66.8122842211991,343,1947.880006448952,652.463713097647,715.057137512429,0.91246374432044,0.2703144784801339
6430_mr,FALSE,FALSE,0.050372662681702755,0.34513274336283184,0.4195377058248477,302.867847545329,634.028113489159,0.48,39,7952.22245862608,31.0136675886417,64.9244788212899,42.5944114072288,29.4514265726766,33,7952.222458626078,302.867847545329,634.028113489159,0.47768835655977193,0
6510_hu,TRUE,FALSE,0.013044692695597836,0.2663115845539281,0.2767052274142987,15656.8151468767,27025.4628072742,0.58,2615,6131.00524298345,1603.25787104017,2767.40739146488,2487.34681424146,1582.34386480065,2421,6535.910222224923,15452.5768046939,24290.4962328268,0.6361573125793495,0.11259410051703128
6510_hua,FALSE,FALSE,2.862835055800758e-5,0.028985507246376812,0.038245990081519986,1031.96952891627,1049.5961155332,0.98,29,36439.1999175953,105.673679761026,107.4786422306,107.327379073152,105.670654497877,28,37739.51946352766,1031.93998533083,1048.11893626125,0.9845638215562381,0.0014093622592287428
6510_huk,FALSE,FALSE,0.0643533429135181,0.36213991769547327,0.4093495274145979,638.631340301385,1721.99910337834,0.37,242,2702.30782011826,65.3958492468618,176.332708185942,127.354374502492,61.1874077351578,201,2702.3078201182557,638.631340301385,1721.99910337834,0.3708662443833292,0
6510_hus,FALSE,FALSE,0.004032109469181231,0.3469387755102041,0.2620062429516259,191.37785968044,309.389723649689,0.62,31,6321.64284879906,19.5970928312771,31.6815077017281,30.1011552302598,19.5180752077037,30,6506.0250692345535,190.606203200231,293.956594045506,0.6484161507556597,0.052501389377894586
rbbha,FALSE,FALSE,0.003404169712144291,0.26869455006337134,0.26083141523298337,2812.92972964456,4787.76025851433,0.59,609,4729.78660616753,288.044004315602,490.266650471868,477.970034656427,287.063453640347,592,4849.044825005854,2803.35403945651,4667.67611969167,0.6005888085571987,0.02572675047355149
rbbhc,FALSE,FALSE,0.012351595320485504,0.25031378877532723,0.400688682844945,21996.4108435759,47591.4751413644,0.46,4719,4773.11394444199,2252.43247038218,4873.36705447572,4545.9345083629,2224.61133602129,4504,4939.190355287066,21724.720078333,44393.8916832315,0.4893628212040452,0.0720275546228075
rbbhf,TRUE,FALSE,0.01606492167232156,0.22204786190663006,0.2510406630825691,18892.270585294,35126.1406172204,0.54,4469,4328.86217931104,1934.5685079341,3596.91679920337,3225.26456278638,1903.4898163844,4278,4449.485311791495,18588.7677381289,31496.7242459608,0.5901809849483887,0.11523155052307016
rbbhfl,TRUE,FALSE,0.019437807232343042,0.32563025210084034,0.2932441324119319,1486.62425391499,2921.28182503212,0.51,593,2567.12181451763,152.230323600895,299.139258883289,261.40671390121,149.271299915824,540,2764.2833317745162,1457.72753824047,2552.7999404415,0.5710308571961012,0.14434420761028613
rbbkam,FALSE,FALSE,0.003637057239784988,0.0825,0.11320677371767363,12108.1361767327,16260.1059235688,0.74,895,13853.331223435,1239.87314449743,1665.03484657344,1606.59584832071,1235.36365490082,864,14298.19045024096,12064.0981923908,15689.412581257,0.7689324332513849,0.03637442379414468
rbbvos,TRUE,FALSE,0.0322739877789477,0.13,0.18194602811473093,635.141795511284,1062.6654460944,0.6,82,7931.52681223848,65.0385198603555,108.816941680067,87.8264177287273,62.9394674652215,72,8741.59270350299,614.643236965054,857.679860632102,0.7166348018386108,0.23900011516095085
rbbzil,FALSE,FALSE,0.060696411575708244,0.25985844287158744,0.3172835699261038,4507.04006114704,11913.000439079,0.38,641,7200.01407584176,461.520902261457,1219.89124496169,920.0570352302,433.508239627003,516,7200.014075841765,4507.04006114704,11913.000439079,0.37832954713594374,0
7140_base,FALSE,FALSE,0.225401475518137,0.25,0.3893240275639246,7.84386428774853,25.7567616980361,0.3,7,1147.4452900935,0.80321170306545,2.63749239787889,0.622166600041062,0.622166600041062,4,1147.4452900934996,7.84386428774853,25.7567616980361,0.3045361206392113,0
7140_meso,FALSE,FALSE,0.09092647756873903,0.36666666666666664,0.3097290240097079,1825.00248585831,5388.35296867736,0.34,499,3745.09528160101,186.880254551891,551.767343992561,286.658049355111,169.887891278338,402,3745.0952816010126,1825.00248585831,5388.35296867736,0.33869393791889574,0
7140_mrd,TRUE,FALSE,0.036209637579551014,0.35294117647058826,0.27857790311209585,49.0782529220987,93.320790553937,0.53,11,4568.73918111173,5.02561309922291,9.55604895272315,7.18392921372815,4.843637470285,8,6054.546837856254,47.301147170752,70.155558727814,0.6742323492036975,0.3301980947225908
7140_oli,FALSE,FALSE,0.016012610378979723,0.20833333333333334,0.47167656506903305,1089.12547629161,2429.14198747273,0.45,137,8140.61669870517,111.526448772261,248.744139517208,230.634461985338,109.740619201119,122,8995.132721403224,1071.68573438593,2252.28966782557,0.4758205614913514,0.07852112549000106
7150,FALSE,TRUE,0.1488559728121623,0.6079734219269103,0.5914829672762401,366.014979827132,1920.40334221055,0.19,255,1469.8013307568,37.4799339342983,196.64930224236,84.730473205729,31.9008219075728,156,1469.8013307567962,366.014979827132,1920.40334221055,0.19059276339616085,0
7210,TRUE,FALSE,0.042911740137735896,0.2222222222222222,0.3600660064476804,26.825765413349,65.2073104655953,0.41,17,1615.85786960408,2.74695837832694,6.67722859167696,4.43906867335973,2.629081614227,15,1752.7210761513302,25.6746251389355,43.3502800132786,0.5922597300656678,0.50419583092939
7230,FALSE,FALSE,0.0549450026475474,0.4375,0.23187388904481243,104.770913932249,261.467000855212,0.4,34,3155.45340784184,10.7285415866623,26.7742208875737,14.8508742573472,10.1390618407788,24,3155.4534078418437,104.770913932249,261.467000855212,0.4007041561251003,0
rbbmc,TRUE,FALSE,0.03905804736811007,0.3588269120184014,0.457743716147079,4587.09264876095,11962.7229137556,0.38,1411,3328.97439569894,469.718287233121,1224.98282636857,1016.16770236469,451.372008120702,1291,3496.2975067444004,4407.92976680373,9923.51271840518,0.44419046882746727,0.20549277793218118
rbbmr,TRUE,FALSE,0.02566724096450018,0.2422302045915977,0.29507056978771246,25516.5256494084,53488.9697699574,0.48,5549,4708.76234726873,2612.89222649942,5477.27050444364,4667.89323263859,2545.82649210759,5212,4884.548142953931,24861.5868369882,45584.8948499863,0.5453909001831483,0.1733924131224254
rbbms,TRUE,FALSE,0.04138370341174566,0.4205729166666667,0.42927443141652244,1620.19912994202,5103.56818627491,0.32,672,2468.87486467356,165.908390906063,522.605382274551,379.731251310715,159.042487263287,539,2950.695496535934,1553.14928968054,3708.3130010812,0.4188290711241733,0.3762506521933027
9110,FALSE,FALSE,0.004385413773290225,0.03314917127071823,0.05612428305947274,3454.5915832873,4082.93867485441,0.85,236,14989.4143274839,353.75017812862,418.092920305091,402.5795112704,352.19883722515,230,15312.992922832631,3439.44176977686,3931.44053975,0.8748553450068393,0.03853501879848866
9120,FALSE,FALSE,0.0028655832014626535,0.058225841320170064,0.06967371718876998,171252.126181974,211400.81365695,0.81,10210,17175.5315583097,17536.2177210342,21647.4433184717,21079.2346909378,17485.9662301156,10092,17326.561860994432,170761.388965972,205851.90127869,0.8295351556398285,0.02695584711043416
9130_end,FALSE,FALSE,0.005333370710190834,0.06348694811472769,0.09173544919659846,32299.127143493,41297.3685638999,0.78,2572,12859.3725485757,3307.43061949368,4228.85054094335,4032.26947445246,3289.79086590169,2531,12997.988407355535,32126.8639248212,39377.6315864498,0.815865826117289,0.048751966538044894
9130_fm,FALSE,FALSE,0.0038367002271892615,0.18840579710144928,0.14813935483870969,480.647334032558,828.153808306197,0.58,52,9465.05519325653,49.218287004934,84.8029499705546,79.3805103839225,49.0294511920003,49,10006.010447346995,478.803234296878,775.200296717993,0.6176509946190845,0.06830945732657245
9150,FALSE,FALSE,0.19374463917669524,0.38095238095238093,0.46235421197630244,36.6216543951872,196.726049625679,0.19,12,3125.04784172264,3.75005741006717,20.1447474816695,5.61367708556242,3.02350389026181,11,3125.0478417226386,36.6216543951872,196.726049625679,0.1861555928402421,0
9160,FALSE,FALSE,0.004765389876379719,0.13165137614678898,0.12593552366006297,33858.2017412381,49539.7832293784,0.68,3760,9220.9570699542,3467.07985830278,5072.87380268835,4856.38748939773,3450.55787104542,3661,9425.178560626664,33696.8542094279,47425.6590761497,0.7105194712280559,0.04457764413635543
9190,TRUE,FALSE,0.016935701731444777,0.11829220524872698,0.15264541240365861,38371.2692454555,65048.105927363,0.59,2844,13815.8156495592,3929.21797073464,6660.92604696197,5880.25277517659,3862.67390714445,2697,14322.113115107337,37721.4248744575,57424.3435075839,0.656889092157853,0.13276185593261894
91E0_sf,FALSE,FALSE,3.913225774698337e-4,0.13793103448275862,0.17833433229863,3222.42806441023,4614.52676501168,0.7,260,12691.4089921387,329.976633795607,472.527540737196,471.236267668778,329.847506488766,247,13354.15006027391,3221.16705555435,4601.91667645291,0.6999620553836661,0.002740181851462991
91E0_va,FALSE,FALSE,0.004977313558708541,0.10719554171447304,0.1341784705919876,39300.7422529818,55204.9737821801,0.71,4991,8063.30596414613,4024.39600670533,5652.98931529524,5354.83312261809,4004.36532589555,4846,8263.238394336659,39105.1301356987,52293.2922130673,0.7478039435032336,0.05567982901610437
91E0_vc,FALSE,FALSE,0.06525105868402992,0.36523574947220266,0.38944967491538135,3783.73967960605,10650.3306271433,0.36,926,4184.17865217774,387.454943191659,1090.59385621947,728.798379001469,362.173097956043,706,4184.178652177744,3783.73967960605,10650.3306271433,0.35526969181246454,0
91E0_vm,FALSE,FALSE,0.007673008728009815,0.12437019358260408,0.13930691811373494,28971.059869718,44850.637832441,0.65,3240,9156.28558845408,2966.63653065912,4592.70531404196,4277.92720339505,2943.87350266654,3087,9536.357313464667,28748.764674478,41776.6328456548,0.688154183720149,0.07358192313256119
91E0_vn,FALSE,FALSE,0.0045737177556434356,0.07260726072607261,0.1456626239119468,29273.3094277621,39942.1406361169,0.73,3191,9393.87930242193,2997.58688540284,4090.07520113837,3926.21165765097,2983.87676904099,3162,9436.675423912038,29139.4215726659,38341.9107192477,0.7599887701485313,0.0417357895538005
91E0_vo,TRUE,FALSE,0.016496429738298263,0.20618556701030927,0.20794349398310746,5729.85542464073,10385.0721360097,0.55,848,6919.07070145296,586.737195483211,1063.43138672739,949.492156086068,577.058126563076,786,7341.70644482285,5635.33326721754,9272.38433677801,0.6077544957735994,0.12000018105573343
91F0,FALSE,FALSE,0,0,0.11119604096232055,10.2449550334893,10.2449550334893,1,1,10490.833954293,1.0490833954293,1.0490833954293,1.0490833954293,1.0490833954293,1,10490.833954293048,10.2449550334893,10.2449550334893,1,0
rbbppm,FALSE,FALSE,0,0,0.20482304105647395,558.458343031316,785.895508027894,0.71,28,20423.6194022881,57.1861343264068,80.4757000220563,80.4757000220563,57.1861343264068,28,20423.61940228813,558.458343031316,785.895508027894,0.7106012661055884,0
rbbsf,TRUE,FALSE,0.024442465227631716,0.2347350914706581,0.28567621623973405,15494.9474768972,32715.7871837082,0.47,3401,4665.34143379673,1586.68262163427,3350.09660761172,2892.53875991137,1547.90018682769,3206,4828.135330092593,15116.2127619891,28247.4488272595,0.5351355038973146,0.15818555451764219
rbbso,FALSE,FALSE,0.010762453958592662,0.2815533980582524,0.27266582060977157,2273.78154174718,4766.82184236918,0.48,501,4647.40977794234,232.835229874911,488.122556658604,460.677206592322,230.329351433444,475,4849.038977546194,2249.31007259223,4498.80084562814,0.4999799168211832,0.059576097261894896
rbbsp,FALSE,TRUE,0.05338450696656306,0.4953638662545659,0.6320471940807713,4612.10439237774,14411.6902981587,0.32,3298,1432.01785864002,472.27948977948,1475.75708653145,957.753402614756,447.067082067183,2761,1432.0178586400248,4612.10439237774,14411.6902981587,0.32002522236874503,0
