scheme_moco_ps_sppost_stratum,targetpanel,grts_address,2025-07-01,2025-10-01,2026-01-01,2026-04-01,2026-07-01,2026-10-01,2027-01-01,2027-04-01,2027-07-01,2027-10-01,2028-01-01,2028-04-01,2028-07-01,2028-10-01,2029-01-01,2029-04-01,2029-07-01,2029-10-01,2030-01-01,2030-04-01,2030-07-01,2030-10-01,2031-01-01,2031-04-01,2031-07-01,2031-10-01,2032-01-01,2032-04-01,2032-07-01,2032-10-01,2033-01-01,2033-04-01,2033-07-01,2033-10-01,2034-01-01,2034-04-01,2034-07-01,2034-10-01,2035-01-01,2035-04-01,2035-07-01,2035-10-01
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL05,13574,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL06,15321,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL07,15865,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL07,15937,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL08,17606,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL09,21761,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL10,23238,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL11,23257,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL11,24422,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL12,25033,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL13,26393,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL14,31225,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL14,31545,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL15,32889,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL16,35449,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL17,36225,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL17,39142,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL18,43737,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL19,46905,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL19,49302,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL20,50054,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL21,50233,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL21,56377,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL22,57849,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL23,63622,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL23,65161,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_va,PANEL24,67734,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL01,15782,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL02,16633,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL02,50361,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL03,71033,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL04,76294,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL04,85529,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL05,112889,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL06,136697,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL07,153017,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL08,157657,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL08,183033,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL09,192473,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL10,198137,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL11,201689,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL12,211193,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL12,220678,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL13,234297,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL14,267513,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL14,320902,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL15,346233,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL16,364729,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL16,398297,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL17,431494,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL17,436729,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL18,472889,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL19,473337,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL20,520217,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,X
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL21,586374,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL21,619961,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL22,643993,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL23,650745,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X,
GW_03.3_panfl_pan5_1_Flanders_remainder_91E0_vc,PANEL24,681945,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,X
GW_05.1_terr_panfl_pan5_2_Flanders_6430_mr,PANEL01,46127881,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,
GW_05.1_terr_panfl_pan5_2_Flanders_6430_mr,PANEL01,47860489,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,
GW_05.1_terr_panfl_pan5_2_Flanders_6430_mr,PANEL02,47583517,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X
GW_05.1_terr_panfl_pan5_2_Flanders_6430_mr,PANEL02,48089865,,,,,,,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL01,206921,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL01,449289,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL01,1363273,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL01,1723145,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL01,4344585,,,,,,,,,,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL02,601385,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL02,642377,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL02,2087689,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL02,2349833,,,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL02,3296009,,,,,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL02,3820297,,,,,,,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X
GW_05.2_panfl_pan5_1_Flanders_6430_mr,PANEL02,4139081,,,,,,,,,,,,,,,,,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X
