loc_code	codeplas	index_0m	index_50m	index_100m	index_150m	index_200m
NA	ANTKAP0130	1.755760369	3.543478261	3.026893432	3.180929095	3.503525264
AN_ATG_002	ANTKAP0220	2.313004032	3.171641791	2.066885965	3.372512438	2.327812678
AN_SNE_006	ANTKAS0008	2.262186115	3.103092784	3.752293578	3.371702638	2.304755945
AN_SNE_002	ANTKAS0017	1.876856919	3.351598174	4.077259475	3.732981221	2.476049675
AN_SNE_004	ANTKAS0030	2.350574713	3.242753623	3.413793103	3.821383648	3.342741935
AN_SNE_007	ANTKAS0033	2.422619048	4.183206107	2.627427184	3.087859425	3.090850515
AN_TIE_005	ANTKAS0213	2.546709992	2.970588235	3.272331155	3.899873257	2.802294197
AN_TIE_006	ANTKAS0268	1.907284768	2.996710526	2.785223368	3.069974555	1.871851852
AN_KAS_003	ANTKAS0295	2.475	3.095628415	3.752717391	2.569910515	3.592274678
AN_KAS_001	ANTKAS0302	3.595	2.756603774	3.083892617	2.713537118	2.379535559
AN_TIK_001	ANTKAS0321	1.678743961	2.504746835	2.143661972	2.766839378	2.197466468
AN_TIK_002	ANTKAS0349	2.246478873	2.140625	3.009803922	2.576281655	2.470937913
AN_KAS_002	ANTKAS0403	2.17699115	2.550420168	3.42519685	3.807733051	3.902589396
NA	ANTKAS0405	1.081932773	2.495327103	2.702970297	3.687749667	3.255063766
AN_TIE_004	ANTKAS0431	4.036363636	2.386075949	3.675126904	3.06835443	2.022693997
AN_TIE_002	ANTKAS0462	2.293394777	2.177777778	3.5	3.27903044	3.925685426
AN_TIE_003	ANTKAS0467	2.596671949	3.064189189	2.711576846	2.551741803	3.901685393
AN_TIE_007	ANTKAS0474	2.99474606	3.755681818	4.128238342	3.67806841	3.896640827
AN_SNE_008	ANTKAS0501	2.076133447	2.145631068	2.808290155	3.270979021	4.147528517
AN_TIK_004	ANTKAS0514	2.524793388	2.5	3.246559633	4.087373737	3.27252907
AN_TIK_003	ANTKAS0515	2.465009208	2.607407407	2.826454034	4.039813857	3.623906706
AN_SNE_001	ANTKAS616	NA	NA	NA	NA	NA
AN_VUI_001	ANTKON0018	2	3.73880597	3.6002331	3.511949686	3.572643515
AN_LIL_003	ANTLIL0004	2.788732394	3.144186047	3.604210526	3.297001153	3.648499694
NA	ANTLIL0064	2.396825397	3.083969466	2.766891892	3.217783505	2.71399177
NA	ANTLIL0073	2.54676259	3.558724832	2.910546139	2.200093721	2.564249364
AN_KDN_003	ANTLIL0243	2.557142857	4.411016949	3.568710359	3.082785088	3.679973387
AN_LIL_002	ANTLIL0293	2.476782753	3.238410596	3.87260274	3.335379464	3.210973725
AN_KDN_005	ANTLIL0303	2.641221374	2.795045045	3.268779343	4.209315376	2.346328785
AN_KDN_002	ANTLIL0362	2.784132841	3.646	2.830188679	2.829283887	2.847900895
AN_GIE_001	ANTLIL0415	2.936772047	3.698979592	3.089775561	3.642996109	3.340892984
AN_KDN_001	ANTLIL0528	2.379828326	3.126146789	4.055970149	4.042590432	2.99592668
AN_LIL_001	ANTLIL0547	2.447368421	3.156746032	3.871657754	3.639668367	3.655713219
AN_ABH_010	ANTLKD0261	1.706331878	2.860465116	2.517353579	4.301757066	3.446153846
AN_ABH_007	ANTLKD0263	2.412579957	2.413043478	3.396848138	3.656790123	3.98894264
AN_WZA_001	ANTMAL0060	2.265258216	3.554455446	3.737037037	2.333965125	3.203079179
AN_DVH_001	ANTMAL0136	2.045238095	3.602150538	3.434328358	3.547036082	2.102545969
AN_DVH_010	ANTMAL0275	2.107441154	4.471153846	4.144808743	3.184508816	2.95136612
AN_GVM_001	ANTMEC0030	2.281807166	4.036697248	3.2	3.69184492	2.900255754
NA	ANTMEC0142	3.023255814	3.709643606	4	3.335044929	3.442264151
AN_WKV_001	ANTMEC0180	1.873330035	4.318181818	3.087818697	2.377224199	3.519280206
AN_MEC_002	ANTMEC0257	4	2.80994152	4.030726257	2.735488127	2.598316296
NA	ANTMEC0285	2	3.846153846	2.667146974	2.767224409	2.191672649
AN_MEC_001	ANTMEC0388	2.292732167	3.595454545	3.389175258	3.756687898	3.159322034
AN_SPB_002	ANTMEE0178	2	3.035519126	3.133086876	3.463782696	2.794833582
AN_SPB_001	ANTMEE0180	2	2.885620915	2.897273304	3.305837563	1.995321637
AN_MOL_002	ANTMOL0036	2.371858261	2.15	3.042635659	2.78516129	3.774531835
AN_MUI_003	ANTMOL0066	2.045751634	3.217573222	2.726388889	4.156862745	3.463320463
AN_MUI_002	ANTMOL0067	1.910783055	3.026470588	3.53526971	2.670718232	2.511784512
AN_MOL_004	ANTMOL0068	1.869754882	3.073369565	3.603597122	3.053672316	2.786851211
AN_RPT_002	ANTMOL0088	2.126351004	1.691729323	3.054187192	3.17535854	3.005979073
AN_RPT_005	ANTMOL0089	2.034591195	3.07037037	3.075144509	3.289754536	3.045170257
