milieudruk,meetnet,standplaatsfactor,milieuvar,afk_milieuvar,meetvar,primair,verklarend,kwaliteitscontrole,variable_set,main_datacollection_method,targetvar_temporal_targetpop,targetvar_temporal_resolution,pan_effectmon_flanders,pan_effectmon_sac5_custommeas,pan_transmon_be2100024,mbaa_mne_phase_1,map_mne
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,geleidend vermogen (EC25) - veld,EC - veld,geleidend vermogen (EC25) - veld,NA,X,NA,standaardpakket veld oppervlaktewater,SURFLOTFIELD,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,Secchi-diepte,Secchi,Secchi-diepte,NA,X,NA,standaardpakket veld oppervlaktewater,SURFLOTSECC,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,biologisch zuurstofverbruik (BOD5 = BZV),BOD5=BZV=BOD,biologisch zuurstofverbruik (BOD5 = BZV),NA,X,NA,analyse BOD,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,chemisch zuurstofverbruik (COD),CZV=COD,chemisch zuurstofverbruik (COD),NA,X,NA,analyse COD,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,alkaliniteit,alkaliniteit,alkaliniteit,NA,X,NA,standaardpakket labo water,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,totale stikstofconcentratie,TN,totale stikstofconcentratie,NA,X,NA,standaardpakket labo water,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,ammoniumconcentratie,NH4,ammoniumconcentratie,NA,X,NA,standaardpakket veld oppervlaktewater,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,aluminiumconcentratie,Al,aluminiumconcentratie,NA,X,NA,analyse metalen water,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,mangaanconcentratie,Mn,mangaanconcentratie,NA,X,NA,analyse metalen water,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,zwavelconcentratie,S,zwavelconcentratie,NA,X,NA,analyse metalen water,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,bicarbonaatconcentratie,HCO3,bicarbonaatconcentratie,NA,X,NA,analyse bicarbonaat,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,"concentratie niet purgeerbare, organisch gebonden koolstof",NPOC,"concentratie niet purgeerbare, organisch gebonden koolstof",NA,X,NA,te bepalen,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,zwevende stoffen (105 °C),ZS105,ZS.105 (zwevende stoffen),NA,X,NA,ZS-pakket,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,zwevende stoffen (550 °C),ZS550,ZS.550 (zwevende stoffen),NA,X,NA,ZS-pakket,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,zuurtegraad in labo,pH - labo,zuurtegraad in labo,NA,NA,X,standaardpakket labo water,SURFLOTSAMP,NA,NA,X,X,X,X,NA
3.4. Eutrofiëring via oppervlaktewater (incl. overstromingswater),SURF_03.4_lotic,N en P,geleidend vermogen labo,EC - labo,geleidend vermogen labo,NA,NA,X,standaardpakket labo water,SURFLOTSAMP,NA,NA,X,X,X,X,NA
4.2 Verzuring via het grondwater,GW_04.2,alkaliniteit,bicarbonaatconcentratie,HCO3,bicarbonaatconcentratie,X,NA,NA,analyse bicarbonaat,GWSHALLSAMP,NA,NA,x,x,x,NA,NA
4.2 Verzuring via het grondwater,GW_04.2,H+,zuurtegraad - veld,pH - veld,zuurtegraad - veld,X,NA,NA,standaardpakket veld grondwater,GWSHALLSAMP,NA,NA,x,x,x,NA,NA
4.2 Verzuring via het grondwater,GW_04.2,alkaliniteit en H+,geleidend vermogen - veld,EC,geleidend vermogen - veld,NA,NA,X,standaardpakket veld grondwater,GWSHALLSAMP,NA,NA,x,x,x,NA,NA
4.2 Verzuring via het grondwater,GW_04.2,alkaliniteit en H+,geleidend vermogen - labo,EC,geleidend vermogen - labo,NA,NA,X,standaardpakket labo water,GWSHALLSAMP,NA,NA,x,x,x,NA,NA
4.2 Verzuring via het grondwater,GW_04.2,H+,zuurtegraad in labo,pH - labo,zuurtegraad in labo,NA,NA,X,standaardpakket labo water,GWSHALLSAMP,NA,NA,x,x,x,NA,NA
5.2 Vernatting via het grondwater,GW_05.2,waterpeil,jaargemiddelde laagste grondwaterstand t.o.v. maaiveld,LG3,stijghoogte,X,NA,NA,ondiep grondwaterpeil automatisch,GWLEVREADDIVER,NA,NA,x,x,x,NA,NA
5.2 Vernatting via het grondwater,GW_05.2,waterpeil,jaargemiddelde hoogste grondwaterstand t.o.v. maaiveld,HG3,stijghoogte,X,NA,NA,ondiep grondwaterpeil automatisch,GWLEVREADDIVER,NA,NA,x,x,x,NA,NA
5.2 Vernatting via het grondwater,GW_05.2,waterpeil,jaargemiddelde gemiddelde grondwaterstand t.o.v. maaiveld,GG,stijghoogte,X,NA,NA,ondiep grondwaterpeil automatisch,GWLEVREADDIVER,NA,NA,x,x,x,NA,NA
5.2 Vernatting via het grondwater,GW_05.2,waterpeil,effectieve neerslag,neerslag,nvt: secundaire dataverwerving,NA,X,NA,NA,SECDATACOLL,NA,NA,x,x,x,NA,NA
5.2 Vernatting via het grondwater,GW_05.2,waterpeil,bodemtextuurklasse,textuur,nvt: secundaire dataverwerving,NA,X,NA,NA,SECDATACOLL,NA,NA,x,x,x,NA,NA
5.2 Vernatting via het grondwater,GW_05.2,waterpeil,grondwaterlichaam,GWL,nvt: secundaire dataverwerving,NA,X,NA,NA,SECDATACOLL,NA,NA,x,x,x,NA,NA
5.2 Vernatting via het grondwater,GW_05.2,waterpeil,kweldruk,kweldruk,stijghoogte,NA,X,NA,piëzometerpeil automatisch,GWLEVREADDIVER,NA,NA,x,x,x,NA,NA
7.1 Verzoeting via het grondwater,GW_07.1,Na+,natriumconcentratie,Na+,natriumconcentratie,X,NA,NA,standaardpakket labo water,GWSHALLSAMP,NA,NA,x,NA,NA,NA,NA
7.1 Verzoeting via het grondwater,GW_07.1,Cl-,chlorideconcentratie,Cl-,chlorideconcentratie,X,NA,NA,standaardpakket labo water,GWSHALLSAMP,NA,NA,x,NA,NA,NA,NA
"64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan",SURF_064_lentic,waterpeil (waterregime / droogval),oppervlaktewaterpeil,waterpeil,hoogte waterstand,X,NA,NA,oppervlaktewaterpeil manueel,SURFLEVREADGAUGE,NA,NA,x,x,x,NA,NA
7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater),SURF_07.2,Na+,natriumconcentratie,Na+,natriumconcentratie,X,NA,NA,standaardpakket labo water,SURFLENTSAMP,NA,NA,x,NA,NA,NA,NA
7.2 Verzoeting via het oppervlaktewater (incl. overstromingswater),SURF_07.2,Cl-,chlorideconcentratie,Cl-,chlorideconcentratie,X,NA,NA,standaardpakket labo water,SURFLENTSAMP,NA,NA,x,NA,NA,NA,NA
