Waterhuishouding,Druk,Milieudrukkengroep,Pnabijheid,WhhGroep,Compartiment,Standplaatsfactor,Vertegenwoordiger,Standplaatsfactor_Comp,Waterhuishouding_afk,MaxMilieudrukkengroep
Tijdelijk tot permanent nat,Druk8.1,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,polluenten (milieuvreemde): zware metalen & organische,Ja,Inundatiewater - polluenten (milieuvreemde): zware metalen & organische,N,c
Tijdelijk tot permanent nat,Druk8.2,c,"Compartiment
met maximale
P-nabijheid",Tijdelijk tot permanent nat,Bodem,polluenten (milieuvreemde): zware metalen & organische,Ja,Bodem - polluenten (milieuvreemde): zware metalen & organische,N,c
Tijdelijk tot permanent nat,Druk8.2,c,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,polluenten (milieuvreemde): zware metalen & organische,Ja,Grondwater - polluenten (milieuvreemde): zware metalen & organische,N,c
Tijdelijk tot permanent nat,Druk8.3,c,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,polluenten (milieuvreemde): zware metalen & organische,Ja,Grondwater - polluenten (milieuvreemde): zware metalen & organische,N,c
Tijdelijk tot permanent nat,Druk8.4,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,polluenten (milieuvreemde): zware metalen & organische,Ja,Inundatiewater - polluenten (milieuvreemde): zware metalen & organische,N,c
Oppervlaktewater,Druk12,c,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterbodem,fysische stabiliteit van de bodem,Ja,Waterbodem - fysische stabiliteit van de bodem,O,c
Oppervlaktewater,Druk12,c,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,turbiditeit,Ja,Waterkolom - turbiditeit,O,c
Oppervlaktewater,Druk3.1,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NHy,Ja,Atmosfeer - NHy,O,a
Oppervlaktewater,Druk3.1,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NOx,Ja,Atmosfeer - NOx,O,a
Oppervlaktewater,Druk3.1,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,N,Ja,Waterkolom - N,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterbodem,N,Ja,Waterbodem - N,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterbodem,P,Ja,Waterbodem - P,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterbodem,Cl- (bodemvocht),Nee,Waterbodem - Cl- (bodemvocht),O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterbodem,Ca2+ (geadsorbeerd / in suspensie / in bodemvocht),Nee,Waterbodem - Ca2+ (geadsorbeerd / in suspensie / in bodemvocht),O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterbodem,Mg2+ (geadsorbeerd / in suspensie / in bodemvocht),Nee,Waterbodem - Mg2+ (geadsorbeerd / in suspensie / in bodemvocht),O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterbodem,K+ (bodemvocht),Nee,Waterbodem - K+ (bodemvocht),O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterbodem,Na+ (geadsorbeerd / in suspensie / in bodemvocht),Nee,Waterbodem - Na+ (geadsorbeerd / in suspensie / in bodemvocht),O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,P,Ja,Grondwater - P,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,N,Ja,Grondwater - N,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,K+,Nee,Grondwater - K+,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,Na+,Nee,Grondwater - Na+,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,Mg2+,Nee,Grondwater - Mg2+,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Alle GWafhankelijke,Grondwater,Ca2+,Nee,Grondwater - Ca2+,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,N,Ja,Waterkolom - N,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,P,Ja,Waterkolom - P,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,turbiditeit,Ja,Waterkolom - turbiditeit,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,Ca2+,Nee,Waterkolom - Ca2+,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,Mg2+,Nee,Waterkolom - Mg2+,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,Cl-,Nee,Waterkolom - Cl-,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,Na+,Nee,Waterkolom - Na+,O,b
Oppervlaktewater,Druk3.2,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,K+,Nee,Waterkolom - K+,O,b
Oppervlaktewater,Druk3.3,a,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,N,Ja,Grondwater - N,O,a
Oppervlaktewater,Druk3.3,a,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,P,Ja,Grondwater - P,O,a
Oppervlaktewater,Druk3.3,a,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Na+,Nee,Grondwater - Na+,O,a
Oppervlaktewater,Druk3.3,a,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Ca2+,Nee,Grondwater - Ca2+,O,a
Oppervlaktewater,Druk3.3,a,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Mg2+,Nee,Grondwater - Mg2+,O,a
Oppervlaktewater,Druk3.3,a,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,K+,Nee,Grondwater - K+,O,a
Oppervlaktewater,Druk3.4,a,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,P,Ja,Waterkolom - P,O,a
Oppervlaktewater,Druk3.4,a,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,N,Ja,Waterkolom - N,O,a
Oppervlaktewater,Druk3.4,a,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,Ca2+,Nee,Waterkolom - Ca2+,O,a
Oppervlaktewater,Druk3.4,a,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,K+,Nee,Waterkolom - K+,O,a
Oppervlaktewater,Druk3.4,a,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,Na+,Nee,Waterkolom - Na+,O,a
Oppervlaktewater,Druk3.4,a,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,Mg2+,Nee,Waterkolom - Mg2+,O,a
Oppervlaktewater,Druk4.1,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,SOx,Ja,Atmosfeer - SOx,O,a
Oppervlaktewater,Druk4.1,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NHy,Ja,Atmosfeer - NHy,O,a
Oppervlaktewater,Druk4.1,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,NOx,Ja,Atmosfeer - NOx,O,a
Oppervlaktewater,Druk4.1,b,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,H+,Nee,Atmosfeer - H+,O,a
Oppervlaktewater,Druk4.1,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,H+,Ja,Waterkolom - H+,O,b
Oppervlaktewater,Druk4.1,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,alkaliniteit,Ja,Waterkolom - alkaliniteit,O,b
Oppervlaktewater,Druk4.1,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,N,Nee,Waterkolom - N,O,b
Oppervlaktewater,Druk4.1,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,SO42-,Nee,Waterkolom - SO42-,O,b
Oppervlaktewater,Druk4.2,c,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,H+,Ja,Grondwater - H+,O,c
Oppervlaktewater,Druk4.2,c,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,alkaliniteit,Ja,Grondwater - alkaliniteit,O,c
Oppervlaktewater,Druk4.2,c,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Mg2+,Nee,Grondwater - Mg2+,O,c
Oppervlaktewater,Druk4.2,c,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,HCO3-,Nee,Grondwater - HCO3-,O,c
Oppervlaktewater,Druk4.2,c,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,K+,Nee,Grondwater - K+,O,c
Oppervlaktewater,Druk4.2,c,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Na+,Nee,Grondwater - Na+,O,c
Oppervlaktewater,Druk4.2,c,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Ca2+,Nee,Grondwater - Ca2+,O,c
Oppervlaktewater,Druk5.1,a,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,"waterpeil (ook waterregime bv. GxG, Pxx duurlijn, amplitude,?)",Ja,"Grondwater - waterpeil (ook waterregime bv. GxG, Pxx duurlijn, amplitude,?)",O,a
Oppervlaktewater,Druk64,b,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,stroming water / golfslag,Ja,Waterkolom - stroming water / golfslag,O,b
Oppervlaktewater,Druk64,b,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,waterpeil (waterregime / droogval),Ja,Waterkolom - waterpeil (waterregime / droogval),O,b
Oppervlaktewater,Druk64,b,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterbodem,fysische stabiliteit van de bodem,Ja,Waterbodem - fysische stabiliteit van de bodem,O,b
Oppervlaktewater,Druk66,d,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,stroming water / golfslag,Ja,Waterkolom - stroming water / golfslag,O,d
Oppervlaktewater,Druk66,d,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,vorst,Nee,Waterkolom - vorst,O,d
Oppervlaktewater,Druk66,d,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,turbiditeit,Nee,Waterkolom - turbiditeit,O,d
Oppervlaktewater,Druk66,d,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,licht (plantbeschikbaar / fotosynthetisch actieve straling),Nee,Waterkolom - licht (plantbeschikbaar / fotosynthetisch actieve straling),O,d
Oppervlaktewater,Druk7.1,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Na+,Ja,Grondwater - Na+,O,d
Oppervlaktewater,Druk7.1,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,Cl-,Ja,Grondwater - Cl-,O,d
Oppervlaktewater,Druk7.1,d,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,SO42-,Nee,Grondwater - SO42-,O,d
Oppervlaktewater,Druk7.2,d,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,Na+,Ja,Waterkolom - Na+,O,d
Oppervlaktewater,Druk7.2,d,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,Cl-,Ja,Waterkolom - Cl-,O,d
Oppervlaktewater,Druk7.2,d,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,SO42-,Nee,Waterkolom - SO42-,O,d
Oppervlaktewater,Druk8.1,d,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,CO2,Ja,Atmosfeer - CO2,O,c
Oppervlaktewater,Druk8.1,d,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,organische polluenten (en pesticiden) + zware metalen,Ja,Atmosfeer - organische polluenten (en pesticiden) + zware metalen,O,c
Oppervlaktewater,Druk8.1,d,"Compartiment
met maximale
P-nabijheid",Alle,Atmosfeer,O3,Ja,Atmosfeer - O3,O,c
Oppervlaktewater,Druk8.1,d,"Compartiment
met lagere
P-nabijheid",Oppervlaktewater,Waterkolom,polluenten (milieuvreemde): zware metalen & organische,Ja,Waterkolom - polluenten (milieuvreemde): zware metalen & organische,O,d
Oppervlaktewater,Druk8.3,c,"Compartiment
met maximale
P-nabijheid",Alle GWafhankelijke,Grondwater,polluenten (milieuvreemde): zware metalen & organische,Ja,Grondwater - polluenten (milieuvreemde): zware metalen & organische,O,c
Oppervlaktewater,Druk8.4,b,"Compartiment
met maximale
P-nabijheid",Oppervlaktewater,Waterkolom,polluenten (milieuvreemde): zware metalen & organische,Ja,Waterkolom - polluenten (milieuvreemde): zware metalen & organische,O,b
Droog tot vochtig,Druk3.4,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,N,Ja,Inundatiewater - N,D,a
Droog tot vochtig,Druk3.4,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,P,Ja,Inundatiewater - P,D,a
Droog tot vochtig,Druk3.4,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,K+,Nee,Inundatiewater - K+,D,a
Droog tot vochtig,Druk3.4,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,Na+,Nee,Inundatiewater - Na+,D,a
Droog tot vochtig,Druk3.4,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,Ca2+,Nee,Inundatiewater - Ca2+,D,a
Droog tot vochtig,Druk3.4,c,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,Mg2+,Nee,Inundatiewater - Mg2+,D,a
Droog tot vochtig,Druk8.4,d,"Compartiment
met lagere
P-nabijheid",Tijdelijk tot permanent nat,Inundatiewater,polluenten (milieuvreemde): zware metalen & organische,Ja,Inundatiewater - polluenten (milieuvreemde): zware metalen & organische,D,c
