"Typeklasse","Hoofdtype","Vegcode","HoofdLogical","Druk","Milieudruk","EffIndActie","Categorie_voorstel","Rang_voorstel","Categorie","Rang"
"Zoete en brakke wateren","3110","3110",TRUE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk3.1","3.1 Eutrofiëring via de lucht","","H",1,"H",1
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk3.3","3.3 Eutrofiëring via het grondwater","","H",1,"H",1
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","","H",2,"H",2
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk4.1","4.1 Verzuring via de lucht","","H",3,"H",3
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk3.2","3.2 Eutrofiëring via de bodem","","H",4,"H",4
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","M",5,"M",5
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk14","14 Verlies van aquatische connectiviteit","","M",6,"M",6
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk5.1","5.1 Verdroging via het grondwater","","M",6,"M",6
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk66","66  Afname golfslagwerking","","M",6,"M",6
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","","M",6,"M",6
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","","L",7,"L",7
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk4.2","4.2 Verzuring via het grondwater","","L",7,"L",7
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk8.3","8.3 Verontreiniging via het grondwater","","L",7,"L",7
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk15","15 Verlies van terrestrische connectiviteit","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk4.3","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk5.2","5.2 Vernatting via het grondwater","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk63","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk64","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk65","65  Toename golfslagwerking","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk7.3","7.3 Verzilting via het grondwater","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk7.4","7.4 Verzilting via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk8.1","8.1 Verontreiniging via de lucht","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk8.2","8.2 Verontreiniging via de bodem","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Zoete en brakke wateren","3130","3130_aom",FALSE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","H",1,"H",1
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk3.1","3.1 Eutrofiëring via de lucht","","H",2,"H",2
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk4.1","4.1 Verzuring via de lucht","","H",3,"H",3
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk15","15 Verlies van terrestrische connectiviteit","","M",4,"M",4
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","","M",5,"M",5
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk3.3","3.3 Eutrofiëring via het grondwater","","L",6,"L",6
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","","L",6,"L",6
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk14","14 Verlies van aquatische connectiviteit","","L",7,"L",7
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk3.2","3.2 Eutrofiëring via de bodem","","L",7,"L",7
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk4.2","4.2 Verzuring via het grondwater","","L",7,"L",7
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk5.1","5.1 Verdroging via het grondwater","","L",7,"L",7
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk4.3","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk5.2","5.2 Vernatting via het grondwater","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk63","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk64","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk65","65  Toename golfslagwerking","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk66","66  Afname golfslagwerking","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk7.3","7.3 Verzilting via het grondwater","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk7.4","7.4 Verzilting via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk8.1","8.1 Verontreiniging via de lucht","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk8.2","8.2 Verontreiniging via de bodem","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk8.3","8.3 Verontreiniging via het grondwater","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Zoete en brakke wateren","3130","3130_na",FALSE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","","H",1,"H",1
"Zoete en brakke wateren","3140","3140",TRUE,"Druk3.2","3.2 Eutrofiëring via de bodem","","M",2,"M",2
"Zoete en brakke wateren","3140","3140",TRUE,"Druk3.3","3.3 Eutrofiëring via het grondwater","","M",2,"M",2
"Zoete en brakke wateren","3140","3140",TRUE,"Druk3.1","3.1 Eutrofiëring via de lucht","","L",3,"L",3
"Zoete en brakke wateren","3140","3140",TRUE,"Druk8.3","8.3 Verontreiniging via het grondwater","","L",3,"L",3
"Zoete en brakke wateren","3140","3140",TRUE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","","L",3,"L",3
"Zoete en brakke wateren","3140","3140",TRUE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk14","14 Verlies van aquatische connectiviteit","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk15","15 Verlies van terrestrische connectiviteit","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk4.1","4.1 Verzuring via de lucht","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk4.2","4.2 Verzuring via het grondwater","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk4.3","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk5.1","5.1 Verdroging via het grondwater","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk5.2","5.2 Vernatting via het grondwater","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk63","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk64","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk65","65  Toename golfslagwerking","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk66","66  Afname golfslagwerking","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk7.3","7.3 Verzilting via het grondwater","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk7.4","7.4 Verzilting via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk8.1","8.1 Verontreiniging via de lucht","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk8.2","8.2 Verontreiniging via de bodem","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Zoete en brakke wateren","3140","3140",TRUE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","","H",1,"H",1
"Zoete en brakke wateren","3150","3150",TRUE,"Druk3.3","3.3 Eutrofiëring via het grondwater","","H",2,"H",2
"Zoete en brakke wateren","3150","3150",TRUE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","","M",3,"M",3
"Zoete en brakke wateren","3150","3150",TRUE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","","M",4,"M",4
"Zoete en brakke wateren","3150","3150",TRUE,"Druk3.1","3.1 Eutrofiëring via de lucht","","M",5,"M",5
"Zoete en brakke wateren","3150","3150",TRUE,"Druk14","14 Verlies van aquatische connectiviteit","","M",6,"M",6
"Zoete en brakke wateren","3150","3150",TRUE,"Druk3.2","3.2 Eutrofiëring via de bodem","","M",6,"M",6
"Zoete en brakke wateren","3150","3150",TRUE,"Druk8.3","8.3 Verontreiniging via het grondwater","","M",6,"M",6
"Zoete en brakke wateren","3150","3150",TRUE,"Druk101","101 Klimaatverandering in droge perioden","","L",7,"L",7
"Zoete en brakke wateren","3150","3150",TRUE,"Druk102","102 Klimaatverandering in natte perioden","","L",8,"L",8
"Zoete en brakke wateren","3150","3150",TRUE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","L",8,"L",8
"Zoete en brakke wateren","3150","3150",TRUE,"Druk8.1","8.1 Verontreiniging via de lucht","","L",8,"L",8
"Zoete en brakke wateren","3150","3150",TRUE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk15","15 Verlies van terrestrische connectiviteit","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk4.3","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk5.1","5.1 Verdroging via het grondwater","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk5.2","5.2 Vernatting via het grondwater","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk63","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk64","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk65","65  Toename golfslagwerking","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk66","66  Afname golfslagwerking","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk7.3","7.3 Verzilting via het grondwater","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk7.4","7.4 Verzilting via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk8.2","8.2 Verontreiniging via de bodem","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Zoete en brakke wateren","3150","3150",TRUE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk3.1","3.1 Eutrofiëring via de lucht","","H",1,"H",1
"Zoete en brakke wateren","3160","3160",TRUE,"Druk4.1","4.1 Verzuring via de lucht","","H",2,"H",2
"Zoete en brakke wateren","3160","3160",TRUE,"Druk5.1","5.1 Verdroging via het grondwater","","H",3,"H",3
"Zoete en brakke wateren","3160","3160",TRUE,"Druk3.3","3.3 Eutrofiëring via het grondwater","","M",4,"M",4
"Zoete en brakke wateren","3160","3160",TRUE,"Druk4.2","4.2 Verzuring via het grondwater","","M",4,"M",4
"Zoete en brakke wateren","3160","3160",TRUE,"Druk3.2","3.2 Eutrofiëring via de bodem","","L",5,"L",5
"Zoete en brakke wateren","3160","3160",TRUE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk14","14 Verlies van aquatische connectiviteit","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk15","15 Verlies van terrestrische connectiviteit","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk4.3","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk5.2","5.2 Vernatting via het grondwater","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk63","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk64","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk65","65  Toename golfslagwerking","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk66","66  Afname golfslagwerking","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk7.3","7.3 Verzilting via het grondwater","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk7.4","7.4 Verzilting via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk8.1","8.1 Verontreiniging via de lucht","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Zoete en brakke wateren","3160","3160",TRUE,"Druk9.2","9.2 Licht en straling","",,,"P",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","","H",1,"H",1
"Zoete en brakke wateren","3260","3260",TRUE,"Druk3.3","3.3 Eutrofiëring via het grondwater","","H",2,"H",2
"Zoete en brakke wateren","3260","3260",TRUE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","","H",3,"H",3
"Zoete en brakke wateren","3260","3260",TRUE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","M",4,"M",4
"Zoete en brakke wateren","3260","3260",TRUE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","","M",4,"M",4
"Zoete en brakke wateren","3260","3260",TRUE,"Druk64","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","","M",4,"M",4
"Zoete en brakke wateren","3260","3260",TRUE,"Druk8.3","8.3 Verontreiniging via het grondwater","","M",4,"M",4
"Zoete en brakke wateren","3260","3260",TRUE,"Druk14","14 Verlies van aquatische connectiviteit","","L",5,"L",5
"Zoete en brakke wateren","3260","3260",TRUE,"Druk63","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","","L",5,"L",5
"Zoete en brakke wateren","3260","3260",TRUE,"Druk101","101 Klimaatverandering in droge perioden","","L",6,"L",6
"Zoete en brakke wateren","3260","3260",TRUE,"Druk102","102 Klimaatverandering in natte perioden","","L",6,"L",6
"Zoete en brakke wateren","3260","3260",TRUE,"Druk8.1","8.1 Verontreiniging via de lucht","","L",6,"L",6
"Zoete en brakke wateren","3260","3260",TRUE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk15","15 Verlies van terrestrische connectiviteit","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk3.2","3.2 Eutrofiëring via de bodem","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk4.2","4.2 Verzuring via het grondwater","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk4.3","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk5.1","5.1 Verdroging via het grondwater","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk65","65  Toename golfslagwerking","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk66","66  Afname golfslagwerking","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk7.3","7.3 Verzilting via het grondwater","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk7.4","7.4 Verzilting via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk8.2","8.2 Verontreiniging via de bodem","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk9.1","9.1 Geluid en trillingen","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Zoete en brakke wateren","3260","3260",TRUE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Zoete en brakke wateren","3270","3270",TRUE,"Druk62","62 Afname overstromingsduur of -frequentie (incl. getijden)","","H",1,"H",1
"Zoete en brakke wateren","3270","3270",TRUE,"Druk63","63 Toename van stroomsnelheid, waterpeil en/of de fluctuatie ervan","","H",1,"H",1
"Zoete en brakke wateren","3270","3270",TRUE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","H",2,"H",2
"Zoete en brakke wateren","3270","3270",TRUE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","","H",2,"H",2
"Zoete en brakke wateren","3270","3270",TRUE,"Druk61","61 Toename overstromingsduur of -frequentie (incl. getijden)","","H",3,"H",3
"Zoete en brakke wateren","3270","3270",TRUE,"Druk101","101 Klimaatverandering in droge perioden","","M",4,"M",4
"Zoete en brakke wateren","3270","3270",TRUE,"Druk65","65  Toename golfslagwerking","","M",4,"M",4
"Zoete en brakke wateren","3270","3270",TRUE,"Druk102","102 Klimaatverandering in natte perioden","","L",5,"L",5
"Zoete en brakke wateren","3270","3270",TRUE,"Druk103","103 Klimaatverandering: zeespiegelstijging","","L",5,"L",5
"Zoete en brakke wateren","3270","3270",TRUE,"Druk15","15 Verlies van terrestrische connectiviteit","","L",5,"L",5
"Zoete en brakke wateren","3270","3270",TRUE,"Druk5.1","5.1 Verdroging via het grondwater","","L",5,"L",5
"Zoete en brakke wateren","3270","3270",TRUE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","","L",5,"L",5
"Zoete en brakke wateren","3270","3270",TRUE,"Druk5.2","5.2 Vernatting via het grondwater","","L",6,"L",6
"Zoete en brakke wateren","3270","3270",TRUE,"Druk7.4","7.4 Verzilting via het oppervlaktewater (incl. overstromingswater)","","L",6,"L",6
"Zoete en brakke wateren","3270","3270",TRUE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Zoete en brakke wateren","3270","3270",TRUE,"Druk14","14 Verlies van aquatische connectiviteit","",,,"S",
"Zoete en brakke wateren","3270","3270",TRUE,"Druk64","64 Afname van stroomsnelheid, waterpeil en/of de fluctuatie ervan","",,,"S",
"Zoete en brakke wateren","3270","3270",TRUE,"Druk66","66  Afname golfslagwerking","",,,"S",
"Zoete en brakke wateren","3270","3270",TRUE,"Druk7.3","7.3 Verzilting via het grondwater","",,,"S",
"Zoete en brakke wateren","3270","3270",TRUE,"Druk8.1","8.1 Verontreiniging via de lucht","",,,"S",
"Zoete en brakke wateren","3270","3270",TRUE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Zoete en brakke wateren","3270","3270",TRUE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Zoete en brakke wateren","3270","3270",TRUE,"Druk8.2","8.2 Verontreiniging via de bodem","",,,"P",
"Zoete en brakke wateren","3270","3270",TRUE,"Druk8.3","8.3 Verontreiniging via het grondwater","",,,"P",
"Heiden","4010","4010",TRUE,"Druk3.1","3.1 Eutrofiëring via de lucht","","H",1,"H",1
"Heiden","4010","4010",TRUE,"Druk5.1","5.1 Verdroging via het grondwater","","H",1,"H",1
"Heiden","4010","4010",TRUE,"Druk4.1","4.1 Verzuring via de lucht","","H",2,"H",2
"Heiden","4010","4010",TRUE,"Druk3.2","3.2 Eutrofiëring via de bodem","","M",3,"M",3
"Heiden","4010","4010",TRUE,"Druk3.3","3.3 Eutrofiëring via het grondwater","","L",4,"L",4
"Heiden","4010","4010",TRUE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","L",5,"L",5
"Heiden","4010","4010",TRUE,"Druk15","15 Verlies van terrestrische connectiviteit","","L",5,"L",5
"Heiden","4010","4010",TRUE,"Druk4.2","4.2 Verzuring via het grondwater","","L",6,"L",6
"Heiden","4010","4010",TRUE,"Druk101","101 Klimaatverandering in droge perioden","","L",7,"L",7
"Heiden","4010","4010",TRUE,"Druk102","102 Klimaatverandering in natte perioden","","L",8,"L",8
"Heiden","4010","4010",TRUE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Heiden","4010","4010",TRUE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Heiden","4010","4010",TRUE,"Druk14","14 Verlies van aquatische connectiviteit","",,,"S",
"Heiden","4010","4010",TRUE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","",,,"S",
"Heiden","4010","4010",TRUE,"Druk4.3","4.3 Verzuring via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Heiden","4010","4010",TRUE,"Druk5.2","5.2 Vernatting via het grondwater","",,,"S",
"Heiden","4010","4010",TRUE,"Druk61","61 Toename overstromingsduur of -frequentie (incl. getijden)","",,,"S",
"Heiden","4010","4010",TRUE,"Druk7.3","7.3 Verzilting via het grondwater","",,,"S",
"Heiden","4010","4010",TRUE,"Druk7.4","7.4 Verzilting via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Heiden","4010","4010",TRUE,"Druk8.1","8.1 Verontreiniging via de lucht","",,,"S",
"Heiden","4010","4010",TRUE,"Druk8.2","8.2 Verontreiniging via de bodem","",,,"S",
"Heiden","4010","4010",TRUE,"Druk8.3","8.3 Verontreiniging via het grondwater","",,,"S",
"Heiden","4010","4010",TRUE,"Druk8.4","8.4 Verontreiniging via het oppervlaktewater (incl. overstromingswater)","",,,"S",
"Heiden","4010","4010",TRUE,"Druk9.1","9.1 Geluid en trillingen","",,,"S",
"Heiden","4010","4010",TRUE,"Druk9.3","9.3 Beweging en andere visuele verstoring","",,,"S",
"Heiden","4010","4010",TRUE,"Druk8.5","8.5 Thermische verontreiniging: toename temperatuur oppervlaktewater","",,,"P",
"Heiden","4030","4030",TRUE,"Druk3.1","3.1 Eutrofiëring via de lucht","","H",1,"H",1
"Heiden","4030","4030",TRUE,"Druk4.1","4.1 Verzuring via de lucht","","H",2,"H",2
"Heiden","4030","4030",TRUE,"Druk3.2","3.2 Eutrofiëring via de bodem","","H",3,"H",3
"Heiden","4030","4030",TRUE,"Druk15","15 Verlies van terrestrische connectiviteit","","L",4,"L",4
"Heiden","4030","4030",TRUE,"Druk101","101 Klimaatverandering in droge perioden","","L",5,"L",5
"Heiden","4030","4030",TRUE,"Druk102","102 Klimaatverandering in natte perioden","","L",5,"L",5
"Heiden","4030","4030",TRUE,"Druk11","11 Aanpassing van de fysische structuur naar een blijvende nieuwe toestand (bodemcompactie, verharding, herprofilering, nieuw substraat, grondverzet, ...)","","L",5,"L",5
"Heiden","4030","4030",TRUE,"Druk12","12 Toename bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Heiden","4030","4030",TRUE,"Druk13","13 Afname bodemdynamiek (erosie, omwoeling, verstuiving)","",,,"S",
"Heiden","4030","4030",TRUE,"Druk14","14 Verlies van aquatische connectiviteit","",,,"S",
"Heiden","4030","4030",TRUE,"Druk3.4","3.4 Eutrofiëring via het oppervlaktewater (incl. overstromingswater en afspoeling)","",,,"S",
"Heiden","4030","4030",TRUE,"Druk5.2","5.2 Vernatting via het grondwater","",,,"S",
"Heiden","4030","4030",TRUE,"Druk61","61 Toename overstromingsduur of -frequentie (incl. getijden)","",,,"S",
"Heiden","4030","4030",TRUE,"Druk7.4","7.4 Verzilting via het oppervlaktewater (incl. overstromingswater)","",,,"S",
