scenario	trend_12yearly_multiplier	avg_nrlocs_pertype_infpop	total_n_finitepop_spatial	total_popsize_spatial	n_N	statistic	typegroup	avg	pctile_l	pctile_u	p_stat_0.1_	p_stat_0.05_
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0814146097531949	0.0555550049724252	0.117379978008052	0.794620611153638	0.0684656150898067
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.068056366745022	0.0598333836404041	0.0761334860133061	0.999991206389838	0.00331980987494382
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0819586538393547	0.0637326085821958	0.104729988883371	0.849399109246625	0.0173383065263435
GW_05.1_terr_S06	1.5	10	434	330040	434/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.0930892386147575	0.0574862602651322	0.147816963423676	0.625116670105162	0.0997859244363522
GW_05.1_terr_S07	1	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.0717634556200193	0.0631413490027817	0.0796713033244973	0.999997779438274	0.00127094574651817
GW_05.1_terr_S07	1	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0769835493819085	0.0551759836441099	0.105899622976035	0.868115167487428	0.0728171144733493
GW_05.1_terr_S07	1	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0637365407067379	0.0568432868983215	0.0701991293582943	0.999999999999851	0.00652045343323912
GW_05.1_terr_S07	1	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0765055851645396	0.061898347179712	0.0929407596776464	0.960979979633847	0.00672926090681733
GW_05.1_terr_S07	1	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.0879281839654054	0.0558563450442103	0.122170244870458	0.6684844540747	0.0763353720930442
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.0688841851436668	0.0611140475411815	0.0767425197828741	0.999999826413261	0.00225689439910848
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0754510370494318	0.0541246941610002	0.101956715432756	0.883991752900507	0.076851824529682
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.061350183688916	0.0554060044677094	0.0674898133776397	1	0.00968536359369711
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0729200586991369	0.0590226621239129	0.0884968894485254	0.987454310666862	0.0190208363374994
GW_05.1_terr_S08	1.2	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.0850204427743859	0.0572711794739658	0.118760861045567	0.743330789455736	0.0614403503441219
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.0651945752254777	0.0585901813412242	0.0728428740410111	0.999999999968071	0.00275405044515834
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0700789553404244	0.0517271887064592	0.0945525677554677	0.934016224301663	0.107154019381157
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0588348599014348	0.0531116382495278	0.0649472746319805	1	0.0287502025576692
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0694402411279795	0.0566597523285271	0.0849021082552656	0.989143706250774	0.0325800704922545
GW_05.1_terr_S09	1.5	14	592	330040	592/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.0796511964177606	0.0549467204833528	0.107641718486779	0.831334530467249	0.0719101574505999
GW_05.1_terr_S10	1	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.0610150990709998	0.0555771723674555	0.0667002966575036	1	0.00529974211636553
GW_05.1_terr_S10	1	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0645537805069956	0.0492007965285177	0.0839695270913992	0.980794027550032	0.15506393016793
GW_05.1_terr_S10	1	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0527356167144355	0.0486604559655928	0.0567379672920195	1	0.220838700626675
GW_05.1_terr_S10	1	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0631351107160764	0.0541352826442821	0.073016444414317	0.999999998297081	0.0345832569553935
GW_05.1_terr_S10	1	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.0713298175839242	0.0536872715994392	0.0901017879055311	0.959847979315426	0.0745341871930846
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.058435426546595	0.0527188228438837	0.0641897621146906	1	0.0464926459759113
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0613610261472633	0.0476914389354414	0.0795855507991151	0.992326407642276	0.201259216888743
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group3	0.0508683384572995	0.0469635128157451	0.0549109863972303	1	0.41576610489077
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group4	0.0597917063861288	0.0515627418693525	0.0689942077664959	0.999999999893551	0.0680344995686386
GW_05.1_terr_S11	1.2	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group5	0.0677916209029213	0.0505094719304103	0.0882234083731106	0.971789963736364	0.104770361798512
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group1	0.0553565949733237	0.0503654261400821	0.0603747842522453	1	0.103896281555154
GW_05.1_terr_S12	1.5	20	832	330040	832/330040	twosided_errmarg90_rel	GW_05.1_terr_group2	0.0583518410203994	0.0444740897961554	0.073442968363599	0.999897519544633	0.24196762656023
